"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020400034","451","2420","Nenad Krstic","1610612751","New Jersey Nets","4","1","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20041106","NJN","PHX"
"Shot Chart Detail","0020400060","165","2420","Nenad Krstic","1610612751","New Jersey Nets","2","8","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-21","194","1","0","20041110","PHI","NJN"
"Shot Chart Detail","0020400170","474","2420","Nenad Krstic","1610612751","New Jersey Nets","4","0","21","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-6","41","1","1","20041125","LAC","NJN"
"Shot Chart Detail","0020400183","116","2420","Nenad Krstic","1610612751","New Jersey Nets","1","0","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-172","18","1","0","20041126","SEA","NJN"
"Shot Chart Detail","0020400183","186","2420","Nenad Krstic","1610612751","New Jersey Nets","2","5","26","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-16","49","1","1","20041126","SEA","NJN"
"Shot Chart Detail","0020400183","486","2420","Nenad Krstic","1610612751","New Jersey Nets","4","1","54","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-2","53","1","1","20041126","SEA","NJN"
"Shot Chart Detail","0020400195","97","2420","Nenad Krstic","1610612751","New Jersey Nets","2","11","52","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20041128","POR","NJN"
"Shot Chart Detail","0020400202","371","2420","Nenad Krstic","1610612751","New Jersey Nets","4","11","39","Missed Shot","Running Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","3","58","1","0","20041130","NJN","CHA"
"Shot Chart Detail","0020400202","380","2420","Nenad Krstic","1610612751","New Jersey Nets","4","10","47","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","11","51","1","0","20041130","NJN","CHA"
"Shot Chart Detail","0020400202","388","2420","Nenad Krstic","1610612751","New Jersey Nets","4","10","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","98","30","1","0","20041130","NJN","CHA"
