"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400010","145","202703","Nikola Mirotic","1610612741","Chicago Bulls","2","9","14","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","92","236","1","1","20141029","NYK","CHI"
"Shot Chart Detail","0021400010","458","202703","Nikola Mirotic","1610612741","Chicago Bulls","4","5","31","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-101","235","1","0","20141029","NYK","CHI"
"Shot Chart Detail","0021400035","144","202703","Nikola Mirotic","1610612741","Chicago Bulls","2","9","34","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-205","135","1","1","20141101","MIN","CHI"
"Shot Chart Detail","0021400035","156","202703","Nikola Mirotic","1610612741","Chicago Bulls","2","8","2","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-234","77","1","0","20141101","MIN","CHI"
"Shot Chart Detail","0021400035","166","202703","Nikola Mirotic","1610612741","Chicago Bulls","2","7","37","Made Shot","Turnaround Hook Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-109","17","1","1","20141101","MIN","CHI"
"Shot Chart Detail","0021400035","224","202703","Nikola Mirotic","1610612741","Chicago Bulls","2","3","27","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","108","239","1","0","20141101","MIN","CHI"
"Shot Chart Detail","0021400035","250","202703","Nikola Mirotic","1610612741","Chicago Bulls","2","0","23","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","43","238","1","1","20141101","MIN","CHI"
"Shot Chart Detail","0021400035","432","202703","Nikola Mirotic","1610612741","Chicago Bulls","4","8","48","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-163","184","1","0","20141101","MIN","CHI"
"Shot Chart Detail","0021400053","148","202703","Nikola Mirotic","1610612741","Chicago Bulls","2","9","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","129","217","1","0","20141104","CHI","ORL"
"Shot Chart Detail","0021400053","186","202703","Nikola Mirotic","1610612741","Chicago Bulls","2","6","16","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","17","1","0","20141104","CHI","ORL"
"Shot Chart Detail","0021400053","417","202703","Nikola Mirotic","1610612741","Chicago Bulls","4","7","51","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","34","241","1","1","20141104","CHI","ORL"
"Shot Chart Detail","0021400053","436","202703","Nikola Mirotic","1610612741","Chicago Bulls","4","6","38","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","61","239","1","1","20141104","CHI","ORL"
"Shot Chart Detail","0021400053","450","202703","Nikola Mirotic","1610612741","Chicago Bulls","4","5","56","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","42","246","1","0","20141104","CHI","ORL"
"Shot Chart Detail","0021400062","102","202703","Nikola Mirotic","1610612741","Chicago Bulls","1","1","50","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-82","154","1","0","20141105","MIL","CHI"
"Shot Chart Detail","0021400062","123","202703","Nikola Mirotic","1610612741","Chicago Bulls","2","11","30","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-16","23","1","0","20141105","MIL","CHI"
