"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100002","68","202708","Norris Cole","1610612748","Miami Heat","1","5","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-169","7","1","0","20111225","DAL","MIA"
"Shot Chart Detail","0021100002","90","202708","Norris Cole","1610612748","Miami Heat","1","4","35","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-235","-5","1","1","20111225","DAL","MIA"
"Shot Chart Detail","0021100002","95","202708","Norris Cole","1610612748","Miami Heat","1","4","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","138","142","1","0","20111225","DAL","MIA"
"Shot Chart Detail","0021100002","114","202708","Norris Cole","1610612748","Miami Heat","1","2","53","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","31","0","1","1","20111225","DAL","MIA"
"Shot Chart Detail","0021100002","140","202708","Norris Cole","1610612748","Miami Heat","1","1","29","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","-2","1","0","20111225","DAL","MIA"
"Shot Chart Detail","0021100002","326","202708","Norris Cole","1610612748","Miami Heat","2","0","33","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-68","52","1","0","20111225","DAL","MIA"
"Shot Chart Detail","0021100002","459","202708","Norris Cole","1610612748","Miami Heat","3","1","13","Made Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-70","19","1","1","20111225","DAL","MIA"
"Shot Chart Detail","0021100002","608","202708","Norris Cole","1610612748","Miami Heat","4","0","55","Missed Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-30","3","1","0","20111225","DAL","MIA"
"Shot Chart Detail","0021100019","118","202708","Norris Cole","1610612748","Miami Heat","1","1","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","177","179","1","0","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","150","202708","Norris Cole","1610612748","Miami Heat","2","11","2","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-26","37","1","1","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","171","202708","Norris Cole","1610612748","Miami Heat","2","9","7","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-188","31","1","1","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","195","202708","Norris Cole","1610612748","Miami Heat","2","7","37","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","39","25","1","0","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","405","202708","Norris Cole","1610612748","Miami Heat","3","1","39","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","58","241","1","0","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","407","202708","Norris Cole","1610612748","Miami Heat","3","1","27","Missed Shot","Floating Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-136","37","1","0","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","445","202708","Norris Cole","1610612748","Miami Heat","4","11","36","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","81","142","1","1","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","452","202708","Norris Cole","1610612748","Miami Heat","4","10","21","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","9","1","1","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","479","202708","Norris Cole","1610612748","Miami Heat","4","8","0","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-75","50","1","1","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","487","202708","Norris Cole","1610612748","Miami Heat","4","7","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","103","228","1","0","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","509","202708","Norris Cole","1610612748","Miami Heat","4","4","45","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","6","1","0","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","511","202708","Norris Cole","1610612748","Miami Heat","4","4","40","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-24","83","1","0","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","529","202708","Norris Cole","1610612748","Miami Heat","4","3","1","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-174","89","1","1","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","545","202708","Norris Cole","1610612748","Miami Heat","4","2","9","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-209","20","1","0","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","555","202708","Norris Cole","1610612748","Miami Heat","4","1","31","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","122","170","1","1","20111227","MIA","BOS"
"Shot Chart Detail","0021100019","561","202708","Norris Cole","1610612748","Miami Heat","4","0","59","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-35","198","1","1","20111227","MIA","BOS"
"Shot Chart Detail","0021100024","85","202708","Norris Cole","1610612748","Miami Heat","1","2","28","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","15","1","0","20111228","CHA","MIA"
"Shot Chart Detail","0021100024","100","202708","Norris Cole","1610612748","Miami Heat","1","1","35","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-5","14","1","0","20111228","CHA","MIA"
"Shot Chart Detail","0021100024","106","202708","Norris Cole","1610612748","Miami Heat","1","0","59","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-153","201","1","0","20111228","CHA","MIA"
"Shot Chart Detail","0021100024","129","202708","Norris Cole","1610612748","Miami Heat","2","10","49","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","2","61","1","0","20111228","CHA","MIA"
"Shot Chart Detail","0021100024","166","202708","Norris Cole","1610612748","Miami Heat","2","8","13","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","17","1","1","20111228","CHA","MIA"
"Shot Chart Detail","0021100024","184","202708","Norris Cole","1610612748","Miami Heat","2","6","29","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","23","59","228","1","1","20111228","CHA","MIA"
"Shot Chart Detail","0021100024","375","202708","Norris Cole","1610612748","Miami Heat","4","11","31","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","13","23","1","0","20111228","CHA","MIA"
"Shot Chart Detail","0021100024","437","202708","Norris Cole","1610612748","Miami Heat","4","5","48","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","15","1","0","20111228","CHA","MIA"
"Shot Chart Detail","0021100045","86","202708","Norris Cole","1610612748","Miami Heat","1","3","18","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-177","134","1","1","20111230","MIN","MIA"
"Shot Chart Detail","0021100045","138","202708","Norris Cole","1610612748","Miami Heat","2","10","49","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","141","137","1","1","20111230","MIN","MIA"
"Shot Chart Detail","0021100045","145","202708","Norris Cole","1610612748","Miami Heat","2","10","21","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","-65","201","1","1","20111230","MIN","MIA"
"Shot Chart Detail","0021100045","157","202708","Norris Cole","1610612748","Miami Heat","2","8","37","Made Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-97","80","1","1","20111230","MIN","MIA"
"Shot Chart Detail","0021100045","186","202708","Norris Cole","1610612748","Miami Heat","2","5","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","-5","1","0","20111230","MIN","MIA"
"Shot Chart Detail","0021100045","193","202708","Norris Cole","1610612748","Miami Heat","2","5","12","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","6","1","1","20111230","MIN","MIA"
"Shot Chart Detail","0021100045","247","202708","Norris Cole","1610612748","Miami Heat","2","0","3","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","12","1","0","20111230","MIN","MIA"
"Shot Chart Detail","0021100045","290","202708","Norris Cole","1610612748","Miami Heat","3","6","59","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","4","-10","1","1","20111230","MIN","MIA"
"Shot Chart Detail","0021100045","343","202708","Norris Cole","1610612748","Miami Heat","3","1","35","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","2","108","1","0","20111230","MIN","MIA"
"Shot Chart Detail","0021100045","421","202708","Norris Cole","1610612748","Miami Heat","4","6","45","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","206","14","1","0","20111230","MIN","MIA"
"Shot Chart Detail","0021100059","160","202708","Norris Cole","1610612748","Miami Heat","1","0","27","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-5","19","1","1","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","171","202708","Norris Cole","1610612748","Miami Heat","2","11","36","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","6","1","1","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","219","202708","Norris Cole","1610612748","Miami Heat","2","7","10","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","11","1","1","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","225","202708","Norris Cole","1610612748","Miami Heat","2","6","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","-34","164","1","0","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","438","202708","Norris Cole","1610612748","Miami Heat","4","11","6","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","12","1","1","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","491","202708","Norris Cole","1610612748","Miami Heat","4","7","27","Missed Shot","Driving Finger Roll Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-38","33","1","0","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","495","202708","Norris Cole","1610612748","Miami Heat","4","7","12","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-13","22","1","1","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","530","202708","Norris Cole","1610612748","Miami Heat","4","4","7","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","14","1","1","20120101","MIA","CHA"
"Shot Chart Detail","0021100070","101","202708","Norris Cole","1610612748","Miami Heat","1","1","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-93","231","1","0","20120102","MIA","ATL"
"Shot Chart Detail","0021100070","105","202708","Norris Cole","1610612748","Miami Heat","1","0","40","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-239","37","1","0","20120102","MIA","ATL"
"Shot Chart Detail","0021100070","158","202708","Norris Cole","1610612748","Miami Heat","2","9","7","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-40","60","1","0","20120102","MIA","ATL"
"Shot Chart Detail","0021100070","169","202708","Norris Cole","1610612748","Miami Heat","2","7","50","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","124","126","1","1","20120102","MIA","ATL"
"Shot Chart Detail","0021100070","172","202708","Norris Cole","1610612748","Miami Heat","2","7","12","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-114","134","1","1","20120102","MIA","ATL"
"Shot Chart Detail","0021100070","188","202708","Norris Cole","1610612748","Miami Heat","2","5","46","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","166","110","1","1","20120102","MIA","ATL"
"Shot Chart Detail","0021100070","195","202708","Norris Cole","1610612748","Miami Heat","2","4","32","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","189","154","1","1","20120102","MIA","ATL"
"Shot Chart Detail","0021100086","93","202708","Norris Cole","1610612748","Miami Heat","1","2","10","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-205","135","1","0","20120104","MIA","IND"
"Shot Chart Detail","0021100086","105","202708","Norris Cole","1610612748","Miami Heat","1","1","11","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","45","3","1","1","20120104","MIA","IND"
"Shot Chart Detail","0021100086","108","202708","Norris Cole","1610612748","Miami Heat","1","0","57","Missed Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-6","8","1","0","20120104","MIA","IND"
"Shot Chart Detail","0021100086","110","202708","Norris Cole","1610612748","Miami Heat","1","0","50","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","11","1","0","20120104","MIA","IND"
"Shot Chart Detail","0021100086","139","202708","Norris Cole","1610612748","Miami Heat","2","10","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","200","-2","1","0","20120104","MIA","IND"
"Shot Chart Detail","0021100086","166","202708","Norris Cole","1610612748","Miami Heat","2","8","44","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","45","91","1","0","20120104","MIA","IND"
"Shot Chart Detail","0021100086","445","202708","Norris Cole","1610612748","Miami Heat","4","10","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","198","6","1","0","20120104","MIA","IND"
