"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900012","52","201956","Omri Casspi","1610612758","Sacramento Kings","1","5","56","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","122","209","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","183","201956","Omri Casspi","1610612758","Sacramento Kings","2","6","14","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-29","200","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","231","201956","Omri Casspi","1610612758","Sacramento Kings","2","2","50","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","227","102","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","283","201956","Omri Casspi","1610612758","Sacramento Kings","2","0","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-183","7","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","379","201956","Omri Casspi","1610612758","Sacramento Kings","3","2","9","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-147","153","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","389","201956","Omri Casspi","1610612758","Sacramento Kings","3","0","30","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","138","131","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","397","201956","Omri Casspi","1610612758","Sacramento Kings","4","11","44","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","69","26","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","409","201956","Omri Casspi","1610612758","Sacramento Kings","4","9","55","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","48","34","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","528","201956","Omri Casspi","1610612758","Sacramento Kings","4","0","36","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","22","217","47","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","531","201956","Omri Casspi","1610612758","Sacramento Kings","4","0","7","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-199","63","1","1","20091028","OKC","SAC"
