"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000374","489","202335","Patrick Patterson","1610612745","Houston Rockets","4","3","17","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-57","36","1","1","20101215","OKC","HOU"
"Shot Chart Detail","0021000429","237","202335","Patrick Patterson","1610612745","Houston Rockets","2","1","21","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-161","-11","1","1","20101222","LAC","HOU"
"Shot Chart Detail","0021000480","128","202335","Patrick Patterson","1610612745","Houston Rockets","1","1","1","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-139","118","1","1","20101231","HOU","TOR"
"Shot Chart Detail","0021000480","151","202335","Patrick Patterson","1610612745","Houston Rockets","2","10","23","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","6","1","1","20101231","HOU","TOR"
"Shot Chart Detail","0021000480","178","202335","Patrick Patterson","1610612745","Houston Rockets","2","8","50","Made Shot","Putback Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-1","6","1","1","20101231","HOU","TOR"
"Shot Chart Detail","0021000480","217","202335","Patrick Patterson","1610612745","Houston Rockets","2","4","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-163","50","1","0","20101231","HOU","TOR"
"Shot Chart Detail","0021000480","431","202335","Patrick Patterson","1610612745","Houston Rockets","3","0","1","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","9","56","1","1","20101231","HOU","TOR"
"Shot Chart Detail","0021000480","510","202335","Patrick Patterson","1610612745","Houston Rockets","4","6","31","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","12","1","1","20101231","HOU","TOR"
"Shot Chart Detail","0021000480","527","202335","Patrick Patterson","1610612745","Houston Rockets","4","4","43","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","111","15","1","1","20101231","HOU","TOR"
"Shot Chart Detail","0021000480","543","202335","Patrick Patterson","1610612745","Houston Rockets","4","3","8","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-179","63","1","0","20101231","HOU","TOR"
"Shot Chart Detail","0021000480","571","202335","Patrick Patterson","1610612745","Houston Rockets","4","2","2","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","9","71","1","0","20101231","HOU","TOR"
"Shot Chart Detail","0021000496","136","202335","Patrick Patterson","1610612745","Houston Rockets","2","8","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","160","11","1","0","20110102","POR","HOU"
"Shot Chart Detail","0021000496","165","202335","Patrick Patterson","1610612745","Houston Rockets","2","6","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","92","149","1","0","20110102","POR","HOU"
"Shot Chart Detail","0021000496","387","202335","Patrick Patterson","1610612745","Houston Rockets","4","9","33","Made Shot","Driving Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","-43","110","1","1","20110102","POR","HOU"
"Shot Chart Detail","0021000503","178","202335","Patrick Patterson","1610612745","Houston Rockets","2","7","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-153","15","1","0","20110103","DEN","HOU"
"Shot Chart Detail","0021000503","224","202335","Patrick Patterson","1610612745","Houston Rockets","2","2","30","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","168","1","1","1","20110103","DEN","HOU"
"Shot Chart Detail","0021000503","415","202335","Patrick Patterson","1610612745","Houston Rockets","3","0","2","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","9","1","0","20110103","DEN","HOU"
"Shot Chart Detail","0021000503","464","202335","Patrick Patterson","1610612745","Houston Rockets","4","8","6","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","185","15","1","1","20110103","DEN","HOU"
"Shot Chart Detail","0021000503","467","202335","Patrick Patterson","1610612745","Houston Rockets","4","7","36","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-161","0","1","1","20110103","DEN","HOU"
"Shot Chart Detail","0021000529","129","202335","Patrick Patterson","1610612745","Houston Rockets","2","10","57","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-180","33","1","1","20110107","ORL","HOU"
"Shot Chart Detail","0021000529","143","202335","Patrick Patterson","1610612745","Houston Rockets","2","8","44","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","110","189","1","1","20110107","ORL","HOU"
"Shot Chart Detail","0021000529","184","202335","Patrick Patterson","1610612745","Houston Rockets","2","4","39","Made Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","89","71","1","1","20110107","ORL","HOU"
"Shot Chart Detail","0021000529","398","202335","Patrick Patterson","1610612745","Houston Rockets","4","10","10","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","53","165","1","1","20110107","ORL","HOU"
"Shot Chart Detail","0021000529","405","202335","Patrick Patterson","1610612745","Houston Rockets","4","9","35","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-98","164","1","1","20110107","ORL","HOU"
"Shot Chart Detail","0021000529","435","202335","Patrick Patterson","1610612745","Houston Rockets","4","6","22","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","116","156","1","1","20110107","ORL","HOU"
"Shot Chart Detail","0021000529","493","202335","Patrick Patterson","1610612745","Houston Rockets","4","1","47","Missed Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-23","96","1","0","20110107","ORL","HOU"
"Shot Chart Detail","0021000543","159","202335","Patrick Patterson","1610612745","Houston Rockets","2","6","53","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-128","12","1","0","20110108","HOU","UTA"
"Shot Chart Detail","0021000543","178","202335","Patrick Patterson","1610612745","Houston Rockets","2","5","14","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","6","1","1","20110108","HOU","UTA"
"Shot Chart Detail","0021000543","221","202335","Patrick Patterson","1610612745","Houston Rockets","2","1","9","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","-2","1","0","20110108","HOU","UTA"
"Shot Chart Detail","0021000552","108","202335","Patrick Patterson","1610612745","Houston Rockets","1","1","9","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","124","145","1","1","20110110","BOS","HOU"
"Shot Chart Detail","0021000552","134","202335","Patrick Patterson","1610612745","Houston Rockets","2","10","26","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","0","189","1","1","20110110","BOS","HOU"
"Shot Chart Detail","0021000552","164","202335","Patrick Patterson","1610612745","Houston Rockets","2","7","4","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","53","22","1","0","20110110","BOS","HOU"
"Shot Chart Detail","0021000552","370","202335","Patrick Patterson","1610612745","Houston Rockets","3","0","27","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","7","1","1","20110110","BOS","HOU"
"Shot Chart Detail","0021000552","403","202335","Patrick Patterson","1610612745","Houston Rockets","4","9","24","Made Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","149","55","1","1","20110110","BOS","HOU"
"Shot Chart Detail","0021000552","432","202335","Patrick Patterson","1610612745","Houston Rockets","4","5","53","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","174","28","1","1","20110110","BOS","HOU"
"Shot Chart Detail","0021000568","138","202335","Patrick Patterson","1610612745","Houston Rockets","2","11","11","Made Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","88","23","1","1","20110112","HOU","OKC"
"Shot Chart Detail","0021000568","403","202335","Patrick Patterson","1610612745","Houston Rockets","3","1","28","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","147","154","1","1","20110112","HOU","OKC"
"Shot Chart Detail","0021000568","405","202335","Patrick Patterson","1610612745","Houston Rockets","3","0","54","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-106","168","1","1","20110112","HOU","OKC"
"Shot Chart Detail","0021000568","433","202335","Patrick Patterson","1610612745","Houston Rockets","4","9","12","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-100","129","1","1","20110112","HOU","OKC"
"Shot Chart Detail","0021000568","461","202335","Patrick Patterson","1610612745","Houston Rockets","4","5","53","Missed Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","102","28","1","0","20110112","HOU","OKC"
"Shot Chart Detail","0021000582","101","202335","Patrick Patterson","1610612745","Houston Rockets","2","11","35","Missed Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","-43","225","1","0","20110114","HOU","NOH"
"Shot Chart Detail","0021000582","109","202335","Patrick Patterson","1610612745","Houston Rockets","2","10","54","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","15","17","1","0","20110114","HOU","NOH"
"Shot Chart Detail","0021000582","111","202335","Patrick Patterson","1610612745","Houston Rockets","2","10","53","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","15","1","1","20110114","HOU","NOH"
"Shot Chart Detail","0021000582","123","202335","Patrick Patterson","1610612745","Houston Rockets","2","9","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-111","164","1","0","20110114","HOU","NOH"
