"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000013","133","202331","Paul George","1610612754","Indiana Pacers","1","1","4","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","1","1","1","20101027","SAS","IND"
"Shot Chart Detail","0021000013","150","202331","Paul George","1610612754","Indiana Pacers","1","0","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","38","-188","334","1","0","20101027","SAS","IND"
"Shot Chart Detail","0021000013","170","202331","Paul George","1610612754","Indiana Pacers","2","10","5","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","29","126","1","0","20101027","SAS","IND"
"Shot Chart Detail","0021000013","374","202331","Paul George","1610612754","Indiana Pacers","3","3","46","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","190","167","1","0","20101027","SAS","IND"
"Shot Chart Detail","0021000013","378","202331","Paul George","1610612754","Indiana Pacers","3","3","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-185","176","1","0","20101027","SAS","IND"
"Shot Chart Detail","0021000019","226","202331","Paul George","1610612754","Indiana Pacers","2","3","39","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","149","31","1","1","20101029","CHA","IND"
"Shot Chart Detail","0021000019","253","202331","Paul George","1610612754","Indiana Pacers","2","2","24","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","233","14","1","1","20101029","CHA","IND"
"Shot Chart Detail","0021000019","361","202331","Paul George","1610612754","Indiana Pacers","3","4","18","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-144","208","1","0","20101029","CHA","IND"
"Shot Chart Detail","0021000019","380","202331","Paul George","1610612754","Indiana Pacers","3","3","4","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","17","1","0","20101029","CHA","IND"
"Shot Chart Detail","0021000019","435","202331","Paul George","1610612754","Indiana Pacers","4","11","13","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","237","36","1","0","20101029","CHA","IND"
