"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021600887","65","1626188","Quinn Cook","1610612742","Dallas Mavericks","1","5","1","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","58","121","1","0","20170227","DAL","MIA"
"Shot Chart Detail","0021600887","82","1626188","Quinn Cook","1610612742","Dallas Mavericks","1","2","51","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","61","169","1","1","20170227","DAL","MIA"
"Shot Chart Detail","0021600887","195","1626188","Quinn Cook","1610612742","Dallas Mavericks","2","4","41","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","25","246","52","1","0","20170227","DAL","MIA"
"Shot Chart Detail","0021600887","246","1626188","Quinn Cook","1610612742","Dallas Mavericks","2","1","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","148","205","1","0","20170227","DAL","MIA"
"Shot Chart Detail","0021600887","343","1626188","Quinn Cook","1610612742","Dallas Mavericks","3","4","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","28","187","210","1","0","20170227","DAL","MIA"
"Shot Chart Detail","0021600897","90","1626188","Quinn Cook","1610612742","Dallas Mavericks","1","2","13","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","148","210","1","0","20170301","ATL","DAL"
"Shot Chart Detail","0021600897","211","1626188","Quinn Cook","1610612742","Dallas Mavericks","2","3","23","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-158","198","1","1","20170301","ATL","DAL"
"Shot Chart Detail","0021600897","229","1626188","Quinn Cook","1610612742","Dallas Mavericks","2","1","32","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-78","242","1","1","20170301","ATL","DAL"
"Shot Chart Detail","0021600897","410","1626188","Quinn Cook","1610612742","Dallas Mavericks","4","6","50","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","-1","1","0","20170301","ATL","DAL"
"Shot Chart Detail","0021600897","446","1626188","Quinn Cook","1610612742","Dallas Mavericks","4","3","12","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","3","1","0","20170301","ATL","DAL"
"Shot Chart Detail","0021600914","62","1626188","Quinn Cook","1610612742","Dallas Mavericks","1","5","26","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","218","116","1","0","20170303","DAL","MEM"
"Shot Chart Detail","0021600914","71","1626188","Quinn Cook","1610612742","Dallas Mavericks","1","3","50","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","79","237","1","1","20170303","DAL","MEM"
"Shot Chart Detail","0021600914","219","1626188","Quinn Cook","1610612742","Dallas Mavericks","2","4","18","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-227","7","1","0","20170303","DAL","MEM"
"Shot Chart Detail","0021600914","364","1626188","Quinn Cook","1610612742","Dallas Mavericks","3","3","15","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","64","174","1","1","20170303","DAL","MEM"
"Shot Chart Detail","0021600914","368","1626188","Quinn Cook","1610612742","Dallas Mavericks","3","1","54","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-156","188","1","0","20170303","DAL","MEM"
"Shot Chart Detail","0021600932","69","1626188","Quinn Cook","1610612742","Dallas Mavericks","1","4","26","Missed Shot","Driving Floating Bank Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","99","31","1","0","20170305","DAL","OKC"
"Shot Chart Detail","0021600932","327","1626188","Quinn Cook","1610612742","Dallas Mavericks","3","5","4","Made Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","9","66","75","1","1","20170305","DAL","OKC"
"Shot Chart Detail","0021600932","559","1626188","Quinn Cook","1610612742","Dallas Mavericks","4","1","47","Missed Shot","Floating Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-106","170","1","0","20170305","DAL","OKC"
"Shot Chart Detail","0021600932","573","1626188","Quinn Cook","1610612742","Dallas Mavericks","4","0","17","Made Shot","Driving Floating Bank Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","51","13","1","1","20170305","DAL","OKC"
"Shot Chart Detail","0021600947","81","1626188","Quinn Cook","1610612742","Dallas Mavericks","1","4","26","Made Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","79","41","1","1","20170307","DAL","LAL"
"Shot Chart Detail","0021600947","84","1626188","Quinn Cook","1610612742","Dallas Mavericks","1","3","54","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","23","-214","105","1","0","20170307","DAL","LAL"
"Shot Chart Detail","0021600947","184","1626188","Quinn Cook","1610612742","Dallas Mavericks","2","7","33","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","1","180","1","1","20170307","DAL","LAL"
"Shot Chart Detail","0021600947","468","1626188","Quinn Cook","1610612742","Dallas Mavericks","4","5","30","Made Shot","Pullup Bank shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","1","242","1","1","20170307","DAL","LAL"
"Shot Chart Detail","0021600947","470","1626188","Quinn Cook","1610612742","Dallas Mavericks","4","5","15","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","2","1","0","20170307","DAL","LAL"
"Shot Chart Detail","0021600947","491","1626188","Quinn Cook","1610612742","Dallas Mavericks","4","4","9","Made Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","17","247","1","1","20170307","DAL","LAL"
"Shot Chart Detail","0021601039","480","1626188","Quinn Cook","1610612740","New Orleans Pelicans","4","0","16","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","155","218","1","0","20170319","NOP","MIN"
"Shot Chart Detail","0021601095","469","1626188","Quinn Cook","1610612740","New Orleans Pelicans","4","4","15","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","189","178","1","1","20170326","DEN","NOP"
"Shot Chart Detail","0021601095","499","1626188","Quinn Cook","1610612740","New Orleans Pelicans","4","2","6","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","181","169","1","0","20170326","DEN","NOP"
"Shot Chart Detail","0021601132","503","1626188","Quinn Cook","1610612740","New Orleans Pelicans","4","2","12","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-91","247","1","1","20170331","NOP","SAC"
"Shot Chart Detail","0021601132","509","1626188","Quinn Cook","1610612740","New Orleans Pelicans","4","1","12","Made Shot","Step Back Jump shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","10","-53","85","1","1","20170331","NOP","SAC"
"Shot Chart Detail","0021601184","154","1626188","Quinn Cook","1610612740","New Orleans Pelicans","2","10","18","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","120","136","1","0","20170407","DEN","NOP"
"Shot Chart Detail","0021601184","199","1626188","Quinn Cook","1610612740","New Orleans Pelicans","2","6","29","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","16","1","1","20170407","DEN","NOP"
