"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021300309","547","203492","Ray McCallum","1610612758","Sacramento Kings","4","4","49","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","236","26","1","0","20131209","SAC","DAL"
"Shot Chart Detail","0021300309","594","203492","Ray McCallum","1610612758","Sacramento Kings","4","0","51","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","2","186","1","1","20131209","SAC","DAL"
"Shot Chart Detail","0021300309","600","203492","Ray McCallum","1610612758","Sacramento Kings","4","0","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","23","62","222","1","0","20131209","SAC","DAL"
"Shot Chart Detail","0021300309","604","203492","Ray McCallum","1610612758","Sacramento Kings","4","0","3","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","28","-119","260","1","0","20131209","SAC","DAL"
"Shot Chart Detail","0021300372","529","203492","Ray McCallum","1610612758","Sacramento Kings","4","0","9","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-84","154","1","0","20131218","ATL","SAC"
"Shot Chart Detail","0021300387","438","203492","Ray McCallum","1610612758","Sacramento Kings","4","3","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-56","247","1","0","20131220","MIA","SAC"
"Shot Chart Detail","0021300387","440","203492","Ray McCallum","1610612758","Sacramento Kings","4","3","12","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","43","41","1","0","20131220","MIA","SAC"
"Shot Chart Detail","0021300540","505","203492","Ray McCallum","1610612758","Sacramento Kings","4","0","52","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-100","134","1","1","20140110","SAC","ORL"
"Shot Chart Detail","0021300552","529","203492","Ray McCallum","1610612758","Sacramento Kings","4","0","55","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-23","250","1","1","20140112","SAC","CLE"
"Shot Chart Detail","0021300618","578","203492","Ray McCallum","1610612758","Sacramento Kings","4","1","27","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","11","1","0","20140121","NOP","SAC"
"Shot Chart Detail","0021300627","594","203492","Ray McCallum","1610612758","Sacramento Kings","4","3","48","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-213","3","1","0","20140122","HOU","SAC"
"Shot Chart Detail","0021300627","621","203492","Ray McCallum","1610612758","Sacramento Kings","4","1","57","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-35","33","1","0","20140122","HOU","SAC"
"Shot Chart Detail","0021300627","635","203492","Ray McCallum","1610612758","Sacramento Kings","4","0","27","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-123","162","1","1","20140122","HOU","SAC"
