"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021900495","618","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","1","51","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-100","260","1","0","20191230","UTA","DET"
"Shot Chart Detail","0021900495","638","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","0","20","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","16","1","1","20191230","UTA","DET"
"Shot Chart Detail","0021900525","172","1629730","Rayjon Tucker","1610612762","Utah Jazz","2","9","54","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-228","99","1","0","20200104","ORL","UTA"
"Shot Chart Detail","0021900525","600","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","0","20","Made Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","81","25","1","1","20200104","ORL","UTA"
"Shot Chart Detail","0021900544","185","1629730","Rayjon Tucker","1610612762","Utah Jazz","2","11","12","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","8","4","1","1","20200106","NOP","UTA"
"Shot Chart Detail","0021900561","596","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","0","46","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","25","246","1","0","20200108","UTA","NYK"
"Shot Chart Detail","0021900574","182","1629730","Rayjon Tucker","1610612762","Utah Jazz","2","7","39","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","22","20","1","1","20200110","UTA","CHA"
"Shot Chart Detail","0021900574","498","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","9","47","Missed Shot","Step Back Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","39","125","1","0","20200110","UTA","CHA"
"Shot Chart Detail","0021900585","123","1629730","Rayjon Tucker","1610612762","Utah Jazz","1","1","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-201","170","1","0","20200112","WAS","UTA"
"Shot Chart Detail","0021900616","189","1629730","Rayjon Tucker","1610612762","Utah Jazz","2","9","24","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","178","186","1","0","20200116","NOP","UTA"
"Shot Chart Detail","0021900651","574","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","2","45","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","34","13","1","0","20200120","UTA","IND"
"Shot Chart Detail","0021900651","603","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","1","11","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","47","27","1","0","20200120","UTA","IND"
"Shot Chart Detail","0021900651","608","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","0","45","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-5","56","1","0","20200120","UTA","IND"
"Shot Chart Detail","0021900665","614","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","3","49","Made Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","45","40","1","1","20200122","GSW","UTA"
"Shot Chart Detail","0021900665","626","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","3","12","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-223","13","1","0","20200122","GSW","UTA"
"Shot Chart Detail","0021900665","636","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","2","17","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","6","111","1","1","20200122","GSW","UTA"
"Shot Chart Detail","0021900665","661","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","0","35","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","25","46","1","0","20200122","GSW","UTA"
"Shot Chart Detail","0021900665","663","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","0","32","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","17","1","1","20200122","GSW","UTA"
"Shot Chart Detail","0021900735","617","1629730","Rayjon Tucker","1610612762","Utah Jazz","4","2","24","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","11","10","1","1","20200201","POR","UTA"
