"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020200030","27","2501","Reggie Evans","1610612760","Seattle SuperSonics","1","9","7","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-48","26","1","0","20021101","GSW","SEA"
"Shot Chart Detail","0020200099","327","2501","Reggie Evans","1610612760","Seattle SuperSonics","4","9","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","11","-3","1","0","20021112","WAS","SEA"
"Shot Chart Detail","0020200125","90","2501","Reggie Evans","1610612760","Seattle SuperSonics","1","2","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-89","127","1","0","20021115","SEA","SAC"
"Shot Chart Detail","0020200125","466","2501","Reggie Evans","1610612760","Seattle SuperSonics","4","0","9","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-66","54","1","0","20021115","SEA","SAC"
"Shot Chart Detail","0020200167","19","2501","Reggie Evans","1610612760","Seattle SuperSonics","1","11","23","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021121","SEA","POR"
"Shot Chart Detail","0020200167","15","2501","Reggie Evans","1610612760","Seattle SuperSonics","1","10","48","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021121","SEA","POR"
"Shot Chart Detail","0020200185","17","2501","Reggie Evans","1610612760","Seattle SuperSonics","1","9","51","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","5","46","1","1","20021123","DAL","SEA"
"Shot Chart Detail","0020200185","20","2501","Reggie Evans","1610612760","Seattle SuperSonics","1","9","31","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021123","DAL","SEA"
"Shot Chart Detail","0020200185","261","2501","Reggie Evans","1610612760","Seattle SuperSonics","3","11","22","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021123","DAL","SEA"
"Shot Chart Detail","0020200185","295","2501","Reggie Evans","1610612760","Seattle SuperSonics","3","7","16","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021123","DAL","SEA"
