"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100053","473","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","3","6","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","0","1","1","20111231","OKC","PHX"
"Shot Chart Detail","0021100053","502","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","0","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","13","244","1","0","20111231","OKC","PHX"
"Shot Chart Detail","0021100053","505","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","0","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","23","119","208","1","0","20111231","OKC","PHX"
"Shot Chart Detail","0021100073","390","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","11","45","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","152","216","1","0","20120102","DAL","OKC"
"Shot Chart Detail","0021100073","395","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","11","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-193","164","1","0","20120102","DAL","OKC"
"Shot Chart Detail","0021100073","402","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","9","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-190","187","1","0","20120102","DAL","OKC"
"Shot Chart Detail","0021100105","492","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","3","30","Missed Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","-2","137","1","0","20120106","OKC","HOU"
"Shot Chart Detail","0021100105","495","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","2","53","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","222","105","1","1","20120106","OKC","HOU"
"Shot Chart Detail","0021100105","518","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","1","7","Missed Shot","Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","6","1","0","20120106","OKC","HOU"
"Shot Chart Detail","0021100122","113","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","1","0","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","6","242","1","0","20120108","OKC","SAS"
"Shot Chart Detail","0021100122","116","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","1","0","27","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","-60","145","1","1","20120108","OKC","SAS"
"Shot Chart Detail","0021100122","133","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","2","11","19","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-223","44","1","0","20120108","OKC","SAS"
"Shot Chart Detail","0021100122","137","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","2","10","47","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-4","44","1","1","20120108","OKC","SAS"
"Shot Chart Detail","0021100122","378","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","3","2","17","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-2","80","1","1","20120108","OKC","SAS"
"Shot Chart Detail","0021100122","395","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","3","0","7","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","168","176","1","1","20120108","OKC","SAS"
"Shot Chart Detail","0021100122","422","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","10","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","-34","164","1","0","20120108","OKC","SAS"
"Shot Chart Detail","0021100122","450","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","8","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-46","190","1","0","20120108","OKC","SAS"
"Shot Chart Detail","0021100122","496","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","4","51","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","-8","1","0","20120108","OKC","SAS"
"Shot Chart Detail","0021100137","139","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","2","9","33","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","1","217","1","1","20120110","MEM","OKC"
"Shot Chart Detail","0021100137","154","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","2","6","52","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","6","260","1","0","20120110","MEM","OKC"
"Shot Chart Detail","0021100137","364","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","3","0","34","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-117","157","1","0","20120110","MEM","OKC"
"Shot Chart Detail","0021100137","403","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","9","42","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","22","1","0","20120110","MEM","OKC"
"Shot Chart Detail","0021100148","129","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","2","11","26","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-87","228","1","1","20120111","NOH","OKC"
"Shot Chart Detail","0021100148","137","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","2","10","29","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-101","142","1","1","20120111","NOH","OKC"
"Shot Chart Detail","0021100148","418","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","9","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-105","231","1","0","20120111","NOH","OKC"
"Shot Chart Detail","0021100177","124","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","1","0","0","Missed Shot","Running Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","57","17","574","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","154","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","2","8","58","Missed Shot","Floating Jump shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-5","36","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","486","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","5","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","6","250","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","490","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","4","57","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-27","-5","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100192","400","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","10","2","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-45","67","1","0","20120116","BOS","OKC"
"Shot Chart Detail","0021100192","412","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","4","9","3","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","6","1","0","20120116","BOS","OKC"
"Shot Chart Detail","0021100203","128","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","1","0","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","168","101","1","0","20120118","WAS","OKC"
"Shot Chart Detail","0021100203","153","202704","Reggie Jackson","1610612760","Oklahoma City Thunder","2","9","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","40","208","1","0","20120118","WAS","OKC"
