"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020700386","396","201155","Rodney Stuckey","1610612765","Detroit Pistons","4","6","31","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071221","DET","MEM"
"Shot Chart Detail","0020700386","398","201155","Rodney Stuckey","1610612765","Detroit Pistons","4","6","26","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071221","DET","MEM"
"Shot Chart Detail","0020700386","422","201155","Rodney Stuckey","1610612765","Detroit Pistons","4","3","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","56","173","1","0","20071221","DET","MEM"
"Shot Chart Detail","0020700401","226","201155","Rodney Stuckey","1610612765","Detroit Pistons","2","1","31","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-16","89","1","0","20071223","DET","HOU"
"Shot Chart Detail","0020700401","228","201155","Rodney Stuckey","1610612765","Detroit Pistons","2","1","29","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071223","DET","HOU"
"Shot Chart Detail","0020700401","439","201155","Rodney Stuckey","1610612765","Detroit Pistons","4","1","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","61","207","1","0","20071223","DET","HOU"
"Shot Chart Detail","0020700401","447","201155","Rodney Stuckey","1610612765","Detroit Pistons","4","1","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","57","179","1","0","20071223","DET","HOU"
"Shot Chart Detail","0020700412","309","201155","Rodney Stuckey","1610612765","Detroit Pistons","4","10","2","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071226","NJN","DET"
"Shot Chart Detail","0020700412","329","201155","Rodney Stuckey","1610612765","Detroit Pistons","4","7","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-148","114","1","0","20071226","NJN","DET"
"Shot Chart Detail","0020700412","346","201155","Rodney Stuckey","1610612765","Detroit Pistons","4","6","32","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071226","NJN","DET"
"Shot Chart Detail","0020700412","371","201155","Rodney Stuckey","1610612765","Detroit Pistons","4","3","3","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","56","214","1","1","20071226","NJN","DET"
"Shot Chart Detail","0020700412","392","201155","Rodney Stuckey","1610612765","Detroit Pistons","4","1","44","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071226","NJN","DET"
