"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900031","534","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","4","1","28","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091030","LAL","DAL"
"Shot Chart Detail","0020900067","2","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","1","11","46","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091104","NOH","DAL"
"Shot Chart Detail","0020900067","11","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","1","10","25","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-106","228","1","1","20091104","NOH","DAL"
"Shot Chart Detail","0020900067","14","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","1","9","40","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091104","NOH","DAL"
"Shot Chart Detail","0020900067","25","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","1","8","30","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","20","63","1","1","20091104","NOH","DAL"
"Shot Chart Detail","0020900067","35","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","1","6","58","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","114","217","1","0","20091104","NOH","DAL"
"Shot Chart Detail","0020900067","260","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","3","7","21","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","9","75","1","0","20091104","NOH","DAL"
"Shot Chart Detail","0020900088","477","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","4","2","19","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091107","DAL","TOR"
"Shot Chart Detail","0020900088","486","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","4","1","26","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091107","DAL","TOR"
"Shot Chart Detail","0020900088","499","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","4","0","6","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","39","53","1","0","20091107","DAL","TOR"
"Shot Chart Detail","0020900107","516","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","4","2","15","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091110","DAL","HOU"
"Shot Chart Detail","0020900107","524","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","4","1","54","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091110","DAL","HOU"
"Shot Chart Detail","0020900128","2","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","1","11","41","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","-6","1","1","20091113","MIN","DAL"
"Shot Chart Detail","0020900128","7","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","1","10","47","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-234","-6","1","1","20091113","MIN","DAL"
"Shot Chart Detail","0020900128","11","201958","Rodrigue Beaubois","1610612742","Dallas Mavericks","1","10","0","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","113","91","1","1","20091113","MIN","DAL"
