"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020600010","76","200752","Rudy Gay","1610612763","Memphis Grizzlies","1","2","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-107","66","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","80","200752","Rudy Gay","1610612763","Memphis Grizzlies","1","1","38","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-33","74","1","1","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","138","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","8","50","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-28","46","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","142","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","8","34","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-16","53","1","1","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","154","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","7","38","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-105","56","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","346","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","0","43","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-149","33","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","352","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","0","0","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","8","58","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","360","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","11","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-105","36","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","372","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","10","22","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","24","61","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","403","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","8","13","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-99","237","1","1","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","415","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","7","18","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-44","40","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","428","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","6","18","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","61","23","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","447","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","4","48","Made Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-92","36","1","1","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","491","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","1","10","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","532","200752","Rudy Gay","1610612763","Memphis Grizzlies","5","2","43","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","570","200752","Rudy Gay","1610612763","Memphis Grizzlies","5","0","29","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","59","31","1","1","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","620","200752","Rudy Gay","1610612763","Memphis Grizzlies","6","2","45","Made Shot","Follow Up Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","651","200752","Rudy Gay","1610612763","Memphis Grizzlies","6","0","0","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","658","200752","Rudy Gay","1610612763","Memphis Grizzlies","7","4","40","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","-52","100","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","660","200752","Rudy Gay","1610612763","Memphis Grizzlies","7","4","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-6","192","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","694","200752","Rudy Gay","1610612763","Memphis Grizzlies","7","0","57","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","11","166","1","1","20061101","MEM","NYK"
"Shot Chart Detail","0020600024","142","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","9","13","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","215","138","1","0","20061103","MEM","CHA"
"Shot Chart Detail","0020600024","314","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","5","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","110","38","1","0","20061103","MEM","CHA"
"Shot Chart Detail","0020600024","340","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","3","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","-21","222","1","0","20061103","MEM","CHA"
"Shot Chart Detail","0020600024","363","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","0","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","126","51","1","0","20061103","MEM","CHA"
"Shot Chart Detail","0020600034","112","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","11","45","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-140","18","1","1","20061104","DET","MEM"
"Shot Chart Detail","0020600034","130","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","9","33","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061104","DET","MEM"
"Shot Chart Detail","0020600034","321","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","1","43","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061104","DET","MEM"
"Shot Chart Detail","0020600034","338","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","59","202","556","1","0","20061104","DET","MEM"
"Shot Chart Detail","0020600034","364","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","9","26","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-169","186","1","1","20061104","DET","MEM"
"Shot Chart Detail","0020600034","413","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","5","18","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-110","252","1","1","20061104","DET","MEM"
"Shot Chart Detail","0020600034","419","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","4","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-117","130","1","0","20061104","DET","MEM"
"Shot Chart Detail","0020600034","421","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","4","33","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061104","DET","MEM"
"Shot Chart Detail","0020600034","433","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","3","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061104","DET","MEM"
"Shot Chart Detail","0020600034","441","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","2","19","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","-3","1","0","20061104","DET","MEM"
"Shot Chart Detail","0020600034","453","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","1","30","Missed Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","100","0","1","0","20061104","DET","MEM"
"Shot Chart Detail","0020600055","86","200752","Rudy Gay","1610612763","Memphis Grizzlies","1","2","44","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061107","MEM","HOU"
"Shot Chart Detail","0020600055","97","200752","Rudy Gay","1610612763","Memphis Grizzlies","1","1","38","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-117","232","1","0","20061107","MEM","HOU"
"Shot Chart Detail","0020600055","113","200752","Rudy Gay","1610612763","Memphis Grizzlies","1","0","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-120","35","1","0","20061107","MEM","HOU"
"Shot Chart Detail","0020600055","117","200752","Rudy Gay","1610612763","Memphis Grizzlies","1","0","4","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-123","25","1","1","20061107","MEM","HOU"
"Shot Chart Detail","0020600055","157","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","8","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-128","141","1","0","20061107","MEM","HOU"
"Shot Chart Detail","0020600055","173","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","6","53","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","30","1","1","20061107","MEM","HOU"
"Shot Chart Detail","0020600055","189","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","5","37","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-113","38","1","1","20061107","MEM","HOU"
"Shot Chart Detail","0020600055","360","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","11","6","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","235","48","1","1","20061107","MEM","HOU"
"Shot Chart Detail","0020600055","362","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","10","26","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-48","45","1","1","20061107","MEM","HOU"
"Shot Chart Detail","0020600055","397","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","6","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061107","MEM","HOU"
"Shot Chart Detail","0020600088","141","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","11","44","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-135","118","1","1","20061111","PHX","MEM"
"Shot Chart Detail","0020600088","152","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","10","23","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-72","31","1","1","20061111","PHX","MEM"
"Shot Chart Detail","0020600088","178","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","7","48","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061111","PHX","MEM"
"Shot Chart Detail","0020600088","186","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","6","40","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","64","49","1","0","20061111","PHX","MEM"
"Shot Chart Detail","0020600088","320","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","5","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-191","86","1","0","20061111","PHX","MEM"
"Shot Chart Detail","0020600088","372","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","0","41","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-176","71","1","1","20061111","PHX","MEM"
"Shot Chart Detail","0020600088","391","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","10","41","Missed Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-117","58","1","0","20061111","PHX","MEM"
"Shot Chart Detail","0020600088","394","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","10","8","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-243","8","1","0","20061111","PHX","MEM"
"Shot Chart Detail","0020600088","396","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","10","2","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-21","263","1","0","20061111","PHX","MEM"
"Shot Chart Detail","0020600088","460","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","4","43","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061111","PHX","MEM"
"Shot Chart Detail","0020600088","510","200752","Rudy Gay","1610612763","Memphis Grizzlies","4","0","8","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-223","123","1","0","20061111","PHX","MEM"
"Shot Chart Detail","0020600096","73","200752","Rudy Gay","1610612763","Memphis Grizzlies","1","3","13","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-182","40","1","0","20061112","LAL","MEM"
"Shot Chart Detail","0020600096","152","200752","Rudy Gay","1610612763","Memphis Grizzlies","2","7","7","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061112","LAL","MEM"
"Shot Chart Detail","0020600096","277","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","6","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-102","151","1","0","20061112","LAL","MEM"
"Shot Chart Detail","0020600096","310","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","3","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-146","212","1","0","20061112","LAL","MEM"
"Shot Chart Detail","0020600115","22","200752","Rudy Gay","1610612763","Memphis Grizzlies","1","9","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-204","-1","1","0","20061115","SAC","MEM"
"Shot Chart Detail","0020600115","28","200752","Rudy Gay","1610612763","Memphis Grizzlies","1","8","9","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","0","91","1","0","20061115","SAC","MEM"
"Shot Chart Detail","0020600115","35","200752","Rudy Gay","1610612763","Memphis Grizzlies","1","7","15","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-143","100","1","1","20061115","SAC","MEM"
"Shot Chart Detail","0020600115","49","200752","Rudy Gay","1610612763","Memphis Grizzlies","1","6","27","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061115","SAC","MEM"
"Shot Chart Detail","0020600115","244","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","10","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","217","120","1","0","20061115","SAC","MEM"
"Shot Chart Detail","0020600115","299","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","4","7","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","51","105","1","0","20061115","SAC","MEM"
"Shot Chart Detail","0020600115","309","200752","Rudy Gay","1610612763","Memphis Grizzlies","3","3","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","189","64","1","0","20061115","SAC","MEM"
