"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700014","137","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","1","0","0","Missed Shot","Floating Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","38","-42","383","1","0","20171019","TOR","CHI"
"Shot Chart Detail","0021700014","147","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","2","11","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-109","231","1","0","20171019","TOR","CHI"
"Shot Chart Detail","0021700675","194","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","2","10","50","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","15","259","1","1","20180120","ATL","CHI"
"Shot Chart Detail","0021700675","592","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","6","34","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","231","79","1","1","20180120","ATL","CHI"
"Shot Chart Detail","0021700704","179","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","2","11","6","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","177","172","1","0","20180124","PHI","CHI"
"Shot Chart Detail","0021700731","156","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","1","0","0","Missed Shot","Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","60","-188","578","1","0","20180128","CHI","MIL"
"Shot Chart Detail","0021700759","563","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","2","20","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","5","1","1","20180131","POR","CHI"
"Shot Chart Detail","0021700775","489","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","11","13","Made Shot","Driving Floating Bank Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","0","34","1","1","20180203","LAC","CHI"
"Shot Chart Detail","0021700775","522","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","8","39","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-242","27","1","0","20180203","LAC","CHI"
"Shot Chart Detail","0021700822","123","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","1","0","48","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","239","-2","1","1","20180209","CHI","MIN"
"Shot Chart Detail","0021700829","192","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","2","7","36","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-113","221","1","0","20180210","CHI","WAS"
"Shot Chart Detail","0021700859","571","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","3","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-87","246","1","0","20180214","CHI","TOR"
"Shot Chart Detail","0021701083","419","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","3","3","27","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","108","232","1","0","20180323","CHI","MIL"
"Shot Chart Detail","0021701083","490","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","10","6","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","27","251","1","0","20180323","CHI","MIL"
"Shot Chart Detail","0021701089","490","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","9","16","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-230","-2","1","1","20180324","DET","CHI"
"Shot Chart Detail","0021701111","572","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","3","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-111","240","1","0","20180327","HOU","CHI"
"Shot Chart Detail","0021701125","289","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","2","3","22","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","17","1","1","20180329","MIA","CHI"
"Shot Chart Detail","0021701129","514","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","11","17","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-230","31","1","1","20180330","ORL","CHI"
"Shot Chart Detail","0021701129","574","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","5","58","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","134","225","1","0","20180330","ORL","CHI"
"Shot Chart Detail","0021701129","597","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","3","39","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-6","-2","1","1","20180330","ORL","CHI"
"Shot Chart Detail","0021701129","605","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","2","29","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-225","20","1","1","20180330","ORL","CHI"
"Shot Chart Detail","0021701144","481","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","8","19","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","227","-22","1","0","20180401","CHI","WAS"
"Shot Chart Detail","0021701144","567","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","1","45","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","101","248","1","0","20180401","CHI","WAS"
"Shot Chart Detail","0021701160","515","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","8","29","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","24","83","1","0","20180403","CHI","CHA"
"Shot Chart Detail","0021701160","555","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","5","17","Missed Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-6","74","1","0","20180403","CHI","CHA"
"Shot Chart Detail","0021701185","194","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","2","8","25","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","14","17","1","1","20180406","BOS","CHI"
"Shot Chart Detail","0021701185","535","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","7","8","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-234","69","1","0","20180406","BOS","CHI"
"Shot Chart Detail","0021701185","581","1627853","Ryan Arcidiacono","1610612741","Chicago Bulls","4","3","2","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","-1","1","1","20180406","BOS","CHI"
