"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020500007","133","101155","Ryan Gomes","1610612738","Boston Celtics","2","11","17","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-18","13","1","1","20051102","BOS","NYK"
"Shot Chart Detail","0020500033","160","101155","Ryan Gomes","1610612738","Boston Celtics","2","9","7","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","6","122","1","0","20051105","CHA","BOS"
"Shot Chart Detail","0020500059","346","101155","Ryan Gomes","1610612738","Boston Celtics","4","8","0","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","2","1","1","20051109","BOS","MEM"
"Shot Chart Detail","0020500074","83","101155","Ryan Gomes","1610612738","Boston Celtics","1","0","27","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-243","7","1","1","20051111","BOS","SAS"
"Shot Chart Detail","0020500074","99","101155","Ryan Gomes","1610612738","Boston Celtics","2","10","53","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-3","12","1","1","20051111","BOS","SAS"
"Shot Chart Detail","0020500074","295","101155","Ryan Gomes","1610612738","Boston Celtics","3","1","55","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","12","1","1","20051111","BOS","SAS"
"Shot Chart Detail","0020500074","310","101155","Ryan Gomes","1610612738","Boston Celtics","3","0","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","118","214","1","0","20051111","BOS","SAS"
"Shot Chart Detail","0020500090","94","101155","Ryan Gomes","1610612738","Boston Celtics","1","1","37","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","21","33","1","0","20051113","BOS","HOU"
"Shot Chart Detail","0020500090","119","101155","Ryan Gomes","1610612738","Boston Celtics","2","11","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","120","26","1","0","20051113","BOS","HOU"
"Shot Chart Detail","0020500090","150","101155","Ryan Gomes","1610612738","Boston Celtics","2","8","3","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","3","1","0","20051113","BOS","HOU"
"Shot Chart Detail","0020500090","317","101155","Ryan Gomes","1610612738","Boston Celtics","3","2","25","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","16","12","1","0","20051113","BOS","HOU"
"Shot Chart Detail","0020500090","319","101155","Ryan Gomes","1610612738","Boston Celtics","3","2","22","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","7","1","1","20051113","BOS","HOU"
"Shot Chart Detail","0020500090","354","101155","Ryan Gomes","1610612738","Boston Celtics","3","0","18","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","10","1","1","20051113","BOS","HOU"
"Shot Chart Detail","0020500090","380","101155","Ryan Gomes","1610612738","Boston Celtics","4","10","37","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-243","8","1","0","20051113","BOS","HOU"
