"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020600570","363","200797","Ryan Hollins","1610612766","Charlotte Bobcats","3","0","44","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070117","CHA","NJN"
"Shot Chart Detail","0020600570","439","200797","Ryan Hollins","1610612766","Charlotte Bobcats","4","6","8","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070117","CHA","NJN"
"Shot Chart Detail","0020600570","456","200797","Ryan Hollins","1610612766","Charlotte Bobcats","4","4","35","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070117","CHA","NJN"
"Shot Chart Detail","0020600586","87","200797","Ryan Hollins","1610612766","Charlotte Bobcats","1","2","25","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070119","ATL","CHA"
"Shot Chart Detail","0020600586","336","200797","Ryan Hollins","1610612766","Charlotte Bobcats","3","2","24","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","26","43","1","0","20070119","ATL","CHA"
"Shot Chart Detail","0020600586","370","200797","Ryan Hollins","1610612766","Charlotte Bobcats","4","11","47","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070119","ATL","CHA"
"Shot Chart Detail","0020600606","324","200797","Ryan Hollins","1610612766","Charlotte Bobcats","4","11","25","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070122","TOR","CHA"
"Shot Chart Detail","0020600606","346","200797","Ryan Hollins","1610612766","Charlotte Bobcats","4","8","52","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070122","TOR","CHA"
"Shot Chart Detail","0020600606","352","200797","Ryan Hollins","1610612766","Charlotte Bobcats","4","8","15","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-49","69","1","1","20070122","TOR","CHA"
"Shot Chart Detail","0020600606","361","200797","Ryan Hollins","1610612766","Charlotte Bobcats","4","7","6","Missed Shot","Turnaround Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","82","15","1","0","20070122","TOR","CHA"
"Shot Chart Detail","0020600606","375","200797","Ryan Hollins","1610612766","Charlotte Bobcats","4","5","58","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070122","TOR","CHA"
"Shot Chart Detail","0020600622","332","200797","Ryan Hollins","1610612766","Charlotte Bobcats","3","0","58","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","16","46","1","0","20070124","CHA","DET"
