"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000022","453","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","6","24","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","0","23","1","0","20101029","TOR","CLE"
"Shot Chart Detail","0021000022","459","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","5","35","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","12","1","1","20101029","TOR","CLE"
"Shot Chart Detail","0021000022","469","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","4","30","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","20","1","1","20101029","TOR","CLE"
"Shot Chart Detail","0021000022","491","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","2","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-23","9","1","0","20101029","TOR","CLE"
"Shot Chart Detail","0021000022","502","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","1","20","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","12","1","1","20101029","TOR","CLE"
"Shot Chart Detail","0021000291","481","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","2","48","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","4","1","0","20101204","MIN","CLE"
"Shot Chart Detail","0021000291","511","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","0","18","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","4","-10","1","1","20101204","MIN","CLE"
"Shot Chart Detail","0021000534","107","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","2","11","16","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","18","33","1","0","20110107","GSW","CLE"
"Shot Chart Detail","0021000534","125","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","2","9","35","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","9","1","1","20110107","GSW","CLE"
"Shot Chart Detail","0021000534","513","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","2","21","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","14","1","1","20110107","GSW","CLE"
"Shot Chart Detail","0021000547","123","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","1","0","32","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","54","15","1","0","20110109","PHX","CLE"
"Shot Chart Detail","0021000547","157","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","2","9","17","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20110109","PHX","CLE"
"Shot Chart Detail","0021000547","335","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","3","4","37","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","45","31","1","0","20110109","PHX","CLE"
"Shot Chart Detail","0021000560","87","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","1","2","32","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-23","42","1","0","20110111","LAL","CLE"
"Shot Chart Detail","0021000560","104","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","1","0","44","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-6","14","1","1","20110111","LAL","CLE"
"Shot Chart Detail","0021000560","120","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","2","11","42","Missed Shot","Turnaround Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-18","30","1","0","20110111","LAL","CLE"
"Shot Chart Detail","0021000560","143","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","2","9","50","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","4","55","1","0","20110111","LAL","CLE"
"Shot Chart Detail","0021000560","309","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","3","7","7","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-5","26","1","0","20110111","LAL","CLE"
"Shot Chart Detail","0021000560","341","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","3","3","16","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","9","67","67","1","0","20110111","LAL","CLE"
"Shot Chart Detail","0021000560","348","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","3","2","47","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","17","39","1","0","20110111","LAL","CLE"
"Shot Chart Detail","0021000560","412","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","6","59","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","54","15","1","0","20110111","LAL","CLE"
"Shot Chart Detail","0021000560","426","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","5","27","Missed Shot","Running Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","54","12","1","0","20110111","LAL","CLE"
"Shot Chart Detail","0021000560","464","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","1","52","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-116","118","1","0","20110111","LAL","CLE"
"Shot Chart Detail","0021000560","469","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","1","26","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","7","63","1","0","20110111","LAL","CLE"
"Shot Chart Detail","0021000560","484","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","0","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","110","93","1","0","20110111","LAL","CLE"
"Shot Chart Detail","0021000583","80","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","1","3","9","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","9","1","1","20110114","UTA","CLE"
"Shot Chart Detail","0021000583","86","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","1","2","40","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","53","30","1","0","20110114","UTA","CLE"
"Shot Chart Detail","0021000583","100","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","1","0","50","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","-2","1","1","20110114","UTA","CLE"
"Shot Chart Detail","0021000583","499","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","0","33","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-147","34","1","1","20110114","UTA","CLE"
"Shot Chart Detail","0021000594","77","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","1","5","39","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","18","6","1","1","20110115","DEN","CLE"
"Shot Chart Detail","0021000594","120","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","1","2","46","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","0","1","1","20110115","DEN","CLE"
"Shot Chart Detail","0021000594","161","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","2","10","51","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","36","58","1","1","20110115","DEN","CLE"
"Shot Chart Detail","0021000594","394","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","3","3","48","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","11","1","1","20110115","DEN","CLE"
"Shot Chart Detail","0021000594","507","202396","Samardo Samuels","1610612739","Cleveland Cavaliers","4","4","58","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","50","28","1","0","20110115","DEN","CLE"
