"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021300076","409","203508","Sergey Karasev","1610612739","Cleveland Cavaliers","4","7","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","163","69","1","0","20131108","PHI","CLE"
"Shot Chart Detail","0021300115","368","203508","Sergey Karasev","1610612739","Cleveland Cavaliers","3","1","28","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","116","186","1","1","20131113","MIN","CLE"
"Shot Chart Detail","0021300115","399","203508","Sergey Karasev","1610612739","Cleveland Cavaliers","4","10","31","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-73","208","1","0","20131113","MIN","CLE"
"Shot Chart Detail","0021300115","410","203508","Sergey Karasev","1610612739","Cleveland Cavaliers","4","9","14","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-157","200","1","1","20131113","MIN","CLE"
"Shot Chart Detail","0021300115","427","203508","Sergey Karasev","1610612739","Cleveland Cavaliers","4","7","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-26","208","1","0","20131113","MIN","CLE"
"Shot Chart Detail","0021300115","468","203508","Sergey Karasev","1610612739","Cleveland Cavaliers","4","3","24","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","51","48","1","0","20131113","MIN","CLE"
"Shot Chart Detail","0021300129","139","203508","Sergey Karasev","1610612739","Cleveland Cavaliers","2","10","35","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-160","192","1","0","20131115","CLE","CHA"
"Shot Chart Detail","0021300129","143","203508","Sergey Karasev","1610612739","Cleveland Cavaliers","2","10","8","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-231","22","1","0","20131115","CLE","CHA"
"Shot Chart Detail","0021300129","370","203508","Sergey Karasev","1610612739","Cleveland Cavaliers","3","1","18","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","119","143","1","0","20131115","CLE","CHA"
"Shot Chart Detail","0021300138","149","203508","Sergey Karasev","1610612739","Cleveland Cavaliers","2","11","25","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","106","134","1","1","20131116","WAS","CLE"
