"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020600030","472","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","0","38","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","24","25","1","1","20061103","GSW","POR"
"Shot Chart Detail","0020600103","407","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","6","57","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061114","MIN","POR"
"Shot Chart Detail","0020600103","427","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","4","36","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061114","MIN","POR"
"Shot Chart Detail","0020600109","121","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","1","0","1","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","5","1","0","20061115","CLE","POR"
"Shot Chart Detail","0020600109","418","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","9","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","5","7","1","0","20061115","CLE","POR"
"Shot Chart Detail","0020600109","457","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","6","14","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-118","155","1","0","20061115","CLE","POR"
"Shot Chart Detail","0020600109","510","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","1","23","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-3","-6","1","0","20061115","CLE","POR"
"Shot Chart Detail","0020600109","519","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","0","46","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","161","81","1","1","20061115","CLE","POR"
"Shot Chart Detail","0020600120","126","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","10","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-71","156","1","0","20061117","BOS","POR"
"Shot Chart Detail","0020600120","140","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","8","44","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","34","8","1","0","20061117","BOS","POR"
"Shot Chart Detail","0020600120","323","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","3","2","33","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","7","1","0","20061117","BOS","POR"
"Shot Chart Detail","0020600120","342","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","3","1","4","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-75","243","1","0","20061117","BOS","POR"
"Shot Chart Detail","0020600120","424","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","4","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","11","201","1","0","20061117","BOS","POR"
"Shot Chart Detail","0020600120","453","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","2","4","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","1","252","1","0","20061117","BOS","POR"
"Shot Chart Detail","0020600148","65","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","1","3","34","Made Shot","Driving Finger Roll Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061120","POR","SAS"
"Shot Chart Detail","0020600148","111","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","11","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","24","248","1","0","20061120","POR","SAS"
"Shot Chart Detail","0020600148","122","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","9","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","67","171","1","0","20061120","POR","SAS"
"Shot Chart Detail","0020600168","151","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","6","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","11","240","1","0","20061122","POR","NJN"
"Shot Chart Detail","0020600168","179","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","3","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-107","219","1","0","20061122","POR","NJN"
"Shot Chart Detail","0020600168","181","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","3","5","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061122","POR","NJN"
"Shot Chart Detail","0020600168","183","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","2","33","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","171","187","1","0","20061122","POR","NJN"
"Shot Chart Detail","0020600193","60","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","1","3","26","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061125","SAC","POR"
"Shot Chart Detail","0020600193","369","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","6","37","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","115","156","1","1","20061125","SAC","POR"
"Shot Chart Detail","0020600193","372","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","6","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-204","59","1","0","20061125","SAC","POR"
"Shot Chart Detail","0020600197","125","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","8","52","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","102","155","1","1","20061126","POR","PHX"
"Shot Chart Detail","0020600197","161","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","5","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061126","POR","PHX"
"Shot Chart Detail","0020600197","313","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","3","0","31","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","120","38","1","1","20061126","POR","PHX"
"Shot Chart Detail","0020600197","334","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","10","47","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","87","227","1","1","20061126","POR","PHX"
"Shot Chart Detail","0020600197","359","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","8","1","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061126","POR","PHX"
"Shot Chart Detail","0020600211","139","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","9","32","Made Shot","Driving Finger Roll Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061128","POR","IND"
"Shot Chart Detail","0020600211","150","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","2","8","26","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-130","210","1","1","20061128","POR","IND"
"Shot Chart Detail","0020600211","377","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","10","44","Missed Shot","Jump Shot","3PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","23","-194","137","1","0","20061128","POR","IND"
"Shot Chart Detail","0020600232","353","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","10","7","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061201","POR","ORL"
"Shot Chart Detail","0020600232","400","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","6","6","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-105","219","1","0","20061201","POR","ORL"
"Shot Chart Detail","0020600232","461","200771","Sergio Rodriguez","1610612757","Portland Trail Blazers","4","0","1","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-56","28","1","0","20061201","POR","ORL"
