"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020600306","57","200761","Shawne Williams","1610612754","Indiana Pacers","1","4","8","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","235","46","1","0","20061211","CHI","IND"
"Shot Chart Detail","0020600306","117","200761","Shawne Williams","1610612754","Indiana Pacers","2","9","35","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-232","66","1","1","20061211","CHI","IND"
"Shot Chart Detail","0020600306","141","200761","Shawne Williams","1610612754","Indiana Pacers","2","7","27","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061211","CHI","IND"
"Shot Chart Detail","0020600306","319","200761","Shawne Williams","1610612754","Indiana Pacers","4","10","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","21","202","61","1","0","20061211","CHI","IND"
"Shot Chart Detail","0020600306","322","200761","Shawne Williams","1610612754","Indiana Pacers","4","10","37","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061211","CHI","IND"
"Shot Chart Detail","0020600306","352","200761","Shawne Williams","1610612754","Indiana Pacers","4","7","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-202","7","1","1","20061211","CHI","IND"
"Shot Chart Detail","0020600306","356","200761","Shawne Williams","1610612754","Indiana Pacers","4","6","31","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-238","5","1","0","20061211","CHI","IND"
"Shot Chart Detail","0020600306","366","200761","Shawne Williams","1610612754","Indiana Pacers","4","6","1","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061211","CHI","IND"
"Shot Chart Detail","0020600306","411","200761","Shawne Williams","1610612754","Indiana Pacers","4","0","53","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","21","81","1","1","20061211","CHI","IND"
"Shot Chart Detail","0020600318","136","200761","Shawne Williams","1610612754","Indiana Pacers","2","8","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","22","-194","109","1","0","20061213","IND","DET"
"Shot Chart Detail","0020600318","345","200761","Shawne Williams","1610612754","Indiana Pacers","4","11","32","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","-5","1","0","20061213","IND","DET"
"Shot Chart Detail","0020600331","453","200761","Shawne Williams","1610612754","Indiana Pacers","4","3","7","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","13","1","1","20061215","IND","NYK"
"Shot Chart Detail","0020600331","481","200761","Shawne Williams","1610612754","Indiana Pacers","4","1","14","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-202","36","1","0","20061215","IND","NYK"
"Shot Chart Detail","0020600405","38","200761","Shawne Williams","1610612754","Indiana Pacers","1","6","43","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-39","17","1","0","20061226","IND","HOU"
"Shot Chart Detail","0020600405","54","200761","Shawne Williams","1610612754","Indiana Pacers","1","5","12","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","-18","1","0","20061226","IND","HOU"
"Shot Chart Detail","0020600509","479","200761","Shawne Williams","1610612754","Indiana Pacers","4","1","37","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-191","171","1","1","20070109","IND","ATL"
"Shot Chart Detail","0020600509","489","200761","Shawne Williams","1610612754","Indiana Pacers","4","0","24","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-237","-13","1","1","20070109","IND","ATL"
"Shot Chart Detail","0020600518","485","200761","Shawne Williams","1610612754","Indiana Pacers","4","0","21","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","235","7","1","0","20070110","BOS","IND"
"Shot Chart Detail","0020600579","42","200761","Shawne Williams","1610612754","Indiana Pacers","1","6","48","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","177","173","1","0","20070118","MIA","IND"
"Shot Chart Detail","0020600579","123","200761","Shawne Williams","1610612754","Indiana Pacers","2","11","20","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-117","2","1","1","20070118","MIA","IND"
"Shot Chart Detail","0020600579","148","200761","Shawne Williams","1610612754","Indiana Pacers","2","8","20","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","143","166","1","0","20070118","MIA","IND"
"Shot Chart Detail","0020600579","297","200761","Shawne Williams","1610612754","Indiana Pacers","3","2","49","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","204","0","1","1","20070118","MIA","IND"
"Shot Chart Detail","0020600579","303","200761","Shawne Williams","1610612754","Indiana Pacers","3","1","38","Made Shot","Follow Up Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070118","MIA","IND"
"Shot Chart Detail","0020600579","307","200761","Shawne Williams","1610612754","Indiana Pacers","3","1","8","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","187","164","1","0","20070118","MIA","IND"
"Shot Chart Detail","0020600579","453","200761","Shawne Williams","1610612754","Indiana Pacers","4","0","13","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-199","135","1","1","20070118","MIA","IND"
"Shot Chart Detail","0020600594","112","200761","Shawne Williams","1610612754","Indiana Pacers","2","9","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-149","36","1","0","20070120","IND","NYK"
