"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500001","82","1626169","Stanley Johnson","1610612765","Detroit Pistons","1","3","53","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","64","198","1","0","20151027","ATL","DET"
"Shot Chart Detail","0021500001","124","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","11","27","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","82","120","1","0","20151027","ATL","DET"
"Shot Chart Detail","0021500001","150","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","8","48","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","235","11","1","1","20151027","ATL","DET"
"Shot Chart Detail","0021500001","227","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","1","48","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-2","56","1","1","20151027","ATL","DET"
"Shot Chart Detail","0021500001","229","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","1","16","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","3","1","1","20151027","ATL","DET"
"Shot Chart Detail","0021500001","319","1626169","Stanley Johnson","1610612765","Detroit Pistons","3","3","50","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-215","116","1","0","20151027","ATL","DET"
"Shot Chart Detail","0021500001","347","1626169","Stanley Johnson","1610612765","Detroit Pistons","3","1","7","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-7","8","1","0","20151027","ATL","DET"
"Shot Chart Detail","0021500001","385","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","10","4","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-127","18","1","0","20151027","ATL","DET"
"Shot Chart Detail","0021500001","461","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","3","53","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-86","7","1","0","20151027","ATL","DET"
"Shot Chart Detail","0021500001","463","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","3","44","Missed Shot","Driving Floating Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-117","218","1","0","20151027","ATL","DET"
"Shot Chart Detail","0021500007","138","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","11","28","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-1","10","1","0","20151028","DET","UTA"
"Shot Chart Detail","0021500007","131","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","8","51","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-186","190","1","1","20151028","DET","UTA"
"Shot Chart Detail","0021500007","143","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","7","52","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","46","11","1","0","20151028","DET","UTA"
"Shot Chart Detail","0021500007","169","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","4","56","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","51","11","1","0","20151028","DET","UTA"
"Shot Chart Detail","0021500007","368","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","10","15","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","55","16","1","0","20151028","DET","UTA"
"Shot Chart Detail","0021500007","384","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","9","24","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-6","-5","1","1","20151028","DET","UTA"
"Shot Chart Detail","0021500007","390","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","8","26","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","28","267","1","0","20151028","DET","UTA"
"Shot Chart Detail","0021500007","400","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","7","37","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","45","21","1","0","20151028","DET","UTA"
"Shot Chart Detail","0021500007","410","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","6","35","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-1","-11","1","1","20151028","DET","UTA"
"Shot Chart Detail","0021500007","418","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","5","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","143","218","1","0","20151028","DET","UTA"
"Shot Chart Detail","0021500025","130","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","11","33","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-92","237","1","0","20151030","DET","CHI"
"Shot Chart Detail","0021500025","142","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","11","7","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-1","-6","1","0","20151030","DET","CHI"
"Shot Chart Detail","0021500025","137","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","10","26","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-1","3","1","0","20151030","DET","CHI"
"Shot Chart Detail","0021500025","174","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","7","20","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","14","47","1","0","20151030","DET","CHI"
"Shot Chart Detail","0021500025","185","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","6","59","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151030","DET","CHI"
"Shot Chart Detail","0021500025","399","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","10","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-6","-11","1","1","20151030","DET","CHI"
"Shot Chart Detail","0021500025","405","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","10","17","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","2","1","0","20151030","DET","CHI"
"Shot Chart Detail","0021500025","413","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","9","36","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-6","-5","1","1","20151030","DET","CHI"
"Shot Chart Detail","0021500054","87","1626169","Stanley Johnson","1610612765","Detroit Pistons","1","1","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","230","106","1","0","20151103","DET","IND"
"Shot Chart Detail","0021500054","118","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","10","19","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-9","-5","1","0","20151103","DET","IND"
"Shot Chart Detail","0021500054","363","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","11","45","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","68","195","1","0","20151103","DET","IND"
"Shot Chart Detail","0021500054","396","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","8","37","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","0","1","0","20151103","DET","IND"
"Shot Chart Detail","0021500054","398","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","8","37","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-1","-5","1","0","20151103","DET","IND"
"Shot Chart Detail","0021500082","106","1626169","Stanley Johnson","1610612765","Detroit Pistons","1","1","59","Missed Shot","Running Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","38","0","1","0","20151106","PHX","DET"
"Shot Chart Detail","0021500082","114","1626169","Stanley Johnson","1610612765","Detroit Pistons","1","0","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-156","193","1","0","20151106","PHX","DET"
"Shot Chart Detail","0021500082","117","1626169","Stanley Johnson","1610612765","Detroit Pistons","1","0","27","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","0","1","1","20151106","PHX","DET"
"Shot Chart Detail","0021500082","141","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","10","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-163","183","1","0","20151106","PHX","DET"
"Shot Chart Detail","0021500082","343","1626169","Stanley Johnson","1610612765","Detroit Pistons","3","2","32","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-6","-1","1","1","20151106","PHX","DET"
"Shot Chart Detail","0021500098","82","1626169","Stanley Johnson","1610612765","Detroit Pistons","1","3","3","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","45","110","1","1","20151108","POR","DET"
"Shot Chart Detail","0021500098","92","1626169","Stanley Johnson","1610612765","Detroit Pistons","1","2","27","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-34","8","1","0","20151108","POR","DET"
"Shot Chart Detail","0021500098","139","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","10","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-155","210","1","0","20151108","POR","DET"
"Shot Chart Detail","0021500098","216","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","1","37","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","145","203","1","0","20151108","POR","DET"
"Shot Chart Detail","0021500104","109","1626169","Stanley Johnson","1610612765","Detroit Pistons","1","0","1","Missed Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","46","41","1","0","20151109","GSW","DET"
"Shot Chart Detail","0021500104","118","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","11","22","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","6","21","1","1","20151109","GSW","DET"
"Shot Chart Detail","0021500104","176","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","5","56","Made Shot","Floating Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","120","85","1","1","20151109","GSW","DET"
"Shot Chart Detail","0021500104","195","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","3","46","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","235","51","1","0","20151109","GSW","DET"
"Shot Chart Detail","0021500104","200","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","3","16","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","3","1","1","20151109","GSW","DET"
"Shot Chart Detail","0021500104","206","1626169","Stanley Johnson","1610612765","Detroit Pistons","2","2","28","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151109","GSW","DET"
"Shot Chart Detail","0021500104","339","1626169","Stanley Johnson","1610612765","Detroit Pistons","3","3","12","Made Shot","Pullup Jump shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-238","2","1","1","20151109","GSW","DET"
"Shot Chart Detail","0021500104","387","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","10","22","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","-19","146","1","0","20151109","GSW","DET"
"Shot Chart Detail","0021500104","401","1626169","Stanley Johnson","1610612765","Detroit Pistons","4","8","28","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","31","-92","298","1","0","20151109","GSW","DET"
