"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020600012","81","200779","Steve Novak","1610612745","Houston Rockets","1","5","21","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-163","179","1","1","20061101","UTA","HOU"
"Shot Chart Detail","0020600012","84","200779","Steve Novak","1610612745","Houston Rockets","1","4","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-94","229","1","0","20061101","UTA","HOU"
"Shot Chart Detail","0020600012","99","200779","Steve Novak","1610612745","Houston Rockets","1","3","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","184","43","1","0","20061101","UTA","HOU"
"Shot Chart Detail","0020600012","172","200779","Steve Novak","1610612745","Houston Rockets","2","8","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","204","135","1","0","20061101","UTA","HOU"
"Shot Chart Detail","0020600036","115","200779","Steve Novak","1610612745","Houston Rockets","2","11","37","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","141","219","1","1","20061104","HOU","DAL"
"Shot Chart Detail","0020600036","468","200779","Steve Novak","1610612745","Houston Rockets","4","1","46","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061104","HOU","DAL"
"Shot Chart Detail","0020600190","239","200779","Steve Novak","1610612745","Houston Rockets","2","1","29","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-225","10","1","0","20061125","HOU","MEM"
"Shot Chart Detail","0020600190","252","200779","Steve Novak","1610612745","Houston Rockets","2","0","35","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-223","18","1","1","20061125","HOU","MEM"
"Shot Chart Detail","0020600218","28","200779","Steve Novak","1610612745","Houston Rockets","1","7","44","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-238","22","1","1","20061129","PHX","HOU"
"Shot Chart Detail","0020600218","49","200779","Steve Novak","1610612745","Houston Rockets","1","5","43","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-199","173","1","0","20061129","PHX","HOU"
"Shot Chart Detail","0020600218","56","200779","Steve Novak","1610612745","Houston Rockets","1","5","3","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","199","143","1","0","20061129","PHX","HOU"
"Shot Chart Detail","0020600218","462","200779","Steve Novak","1610612745","Houston Rockets","4","3","4","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","113","214","1","1","20061129","PHX","HOU"
"Shot Chart Detail","0020600218","473","200779","Steve Novak","1610612745","Houston Rockets","4","1","58","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","184","173","1","0","20061129","PHX","HOU"
"Shot Chart Detail","0020600257","493","200779","Steve Novak","1610612745","Houston Rockets","4","1","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-80","250","1","0","20061205","HOU","GSW"
"Shot Chart Detail","0020600257","495","200779","Steve Novak","1610612745","Houston Rockets","4","1","34","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-148","-6","1","1","20061205","HOU","GSW"
"Shot Chart Detail","0020600274","408","200779","Steve Novak","1610612745","Houston Rockets","4","6","52","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-153","76","1","0","20061208","CHA","HOU"
"Shot Chart Detail","0020600274","425","200779","Steve Novak","1610612745","Houston Rockets","4","5","44","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","8","1","0","20061208","CHA","HOU"
"Shot Chart Detail","0020600311","242","200779","Steve Novak","1610612745","Houston Rockets","2","0","4","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","-1","1","0","20061212","HOU","LAL"
"Shot Chart Detail","0020600311","386","200779","Steve Novak","1610612745","Houston Rockets","4","9","27","Made Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","97","22","1","1","20061212","HOU","LAL"
"Shot Chart Detail","0020600311","412","200779","Steve Novak","1610612745","Houston Rockets","4","6","52","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-200","54","1","1","20061212","HOU","LAL"
"Shot Chart Detail","0020600311","486","200779","Steve Novak","1610612745","Houston Rockets","4","0","46","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","205","158","1","0","20061212","HOU","LAL"
"Shot Chart Detail","0020600386","441","200779","Steve Novak","1610612745","Houston Rockets","4","0","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","202","3","1","0","20061222","SAS","HOU"
"Shot Chart Detail","0020600437","485","200779","Steve Novak","1610612745","Houston Rockets","4","0","33","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-138","237","1","0","20061229","HOU","ATL"
"Shot Chart Detail","0020600454","384","200779","Steve Novak","1610612745","Houston Rockets","4","11","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-220","105","1","0","20061231","HOU","MEM"
"Shot Chart Detail","0020600454","392","200779","Steve Novak","1610612745","Houston Rockets","4","10","5","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-182","192","1","1","20061231","HOU","MEM"
"Shot Chart Detail","0020600473","109","200779","Steve Novak","1610612745","Houston Rockets","2","11","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-33","252","1","0","20070103","HOU","SEA"
"Shot Chart Detail","0020600473","121","200779","Steve Novak","1610612745","Houston Rockets","2","9","57","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070103","HOU","SEA"
"Shot Chart Detail","0020600473","335","200779","Steve Novak","1610612745","Houston Rockets","4","9","48","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-227","12","1","0","20070103","HOU","SEA"
"Shot Chart Detail","0020600487","153","200779","Steve Novak","1610612745","Houston Rockets","2","8","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","149","201","1","0","20070105","HOU","UTA"
"Shot Chart Detail","0020600499","472","200779","Steve Novak","1610612745","Houston Rockets","5","2","53","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-67","245","1","0","20070107","MIN","HOU"
"Shot Chart Detail","0020600499","482","200779","Steve Novak","1610612745","Houston Rockets","5","1","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-136","214","1","0","20070107","MIN","HOU"
"Shot Chart Detail","0020600523","437","200779","Steve Novak","1610612745","Houston Rockets","4","2","13","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","102","220","1","1","20070110","HOU","LAL"
"Shot Chart Detail","0020600665","344","200779","Steve Novak","1610612745","Houston Rockets","4","9","30","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","0","1","1","20070129","HOU","PHI"
"Shot Chart Detail","0020600665","364","200779","Steve Novak","1610612745","Houston Rockets","4","7","18","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-69","248","1","0","20070129","HOU","PHI"
"Shot Chart Detail","0020600665","388","200779","Steve Novak","1610612745","Houston Rockets","4","5","3","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","118","230","1","1","20070129","HOU","PHI"
"Shot Chart Detail","0020600665","397","200779","Steve Novak","1610612745","Houston Rockets","4","3","56","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","232","7","1","0","20070129","HOU","PHI"
"Shot Chart Detail","0020600704","448","200779","Steve Novak","1610612745","Houston Rockets","4","1","48","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","181","183","1","1","20070203","HOU","NOK"
"Shot Chart Detail","0020600717","453","200779","Steve Novak","1610612745","Houston Rockets","4","0","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-189","186","1","0","20070205","HOU","MIN"
"Shot Chart Detail","0020600746","474","200779","Steve Novak","1610612745","Houston Rockets","4","0","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","23","186","140","1","0","20070209","DAL","HOU"
"Shot Chart Detail","0020600753","465","200779","Steve Novak","1610612745","Houston Rockets","4","1","34","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-10","248","1","0","20070210","HOU","CHA"
"Shot Chart Detail","0020600883","431","200779","Steve Novak","1610612745","Houston Rockets","4","4","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-148","219","1","0","20070303","HOU","SAS"
"Shot Chart Detail","0020600883","462","200779","Steve Novak","1610612745","Houston Rockets","4","0","39","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-141","135","1","1","20070303","HOU","SAS"
"Shot Chart Detail","0020600883","468","200779","Steve Novak","1610612745","Houston Rockets","4","0","7","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","200","135","1","1","20070303","HOU","SAS"
"Shot Chart Detail","0020600910","479","200779","Steve Novak","1610612745","Houston Rockets","4","0","39","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-207","145","1","1","20070307","BOS","HOU"
"Shot Chart Detail","0020600923","496","200779","Steve Novak","1610612745","Houston Rockets","4","2","31","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","21","187","102","1","0","20070309","HOU","NJN"
"Shot Chart Detail","0020600923","511","200779","Steve Novak","1610612745","Houston Rockets","4","1","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","158","192","1","0","20070309","HOU","NJN"
"Shot Chart Detail","0020601226","185","200779","Steve Novak","1610612745","Houston Rockets","2","5","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","23","-168","169","1","0","20070418","UTA","HOU"
"Shot Chart Detail","0020601226","384","200779","Steve Novak","1610612745","Houston Rockets","4","9","8","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-223","61","1","0","20070418","UTA","HOU"
"Shot Chart Detail","0020601226","430","200779","Steve Novak","1610612745","Houston Rockets","4","2","41","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","-8","1","1","20070418","UTA","HOU"
"Shot Chart Detail","0020601226","455","200779","Steve Novak","1610612745","Houston Rockets","4","0","9","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","15","242","1","0","20070418","UTA","HOU"
"Shot Chart Detail","0020700452","172","200779","Steve Novak","1610612745","Houston Rockets","2","7","15","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-212","169","1","1","20071231","HOU","GSW"
"Shot Chart Detail","0020700452","193","200779","Steve Novak","1610612745","Houston Rockets","2","5","28","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","140","199","1","1","20071231","HOU","GSW"
"Shot Chart Detail","0020700452","406","200779","Steve Novak","1610612745","Houston Rockets","4","11","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-159","230","1","0","20071231","HOU","GSW"
"Shot Chart Detail","0020700452","525","200779","Steve Novak","1610612745","Houston Rockets","4","0","11","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071231","HOU","GSW"
"Shot Chart Detail","0020700473","152","200779","Steve Novak","1610612745","Houston Rockets","2","7","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-168","214","1","0","20080104","ORL","HOU"
"Shot Chart Detail","0020700529","400","200779","Steve Novak","1610612745","Houston Rockets","4","6","14","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-100","230","1","1","20080111","HOU","MIN"
"Shot Chart Detail","0020700529","405","200779","Steve Novak","1610612745","Houston Rockets","4","5","53","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-99","252","1","0","20080111","HOU","MIN"
"Shot Chart Detail","0020700529","421","200779","Steve Novak","1610612745","Houston Rockets","4","4","20","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","-3","227","1","0","20080111","HOU","MIN"
"Shot Chart Detail","0020700529","438","200779","Steve Novak","1610612745","Houston Rockets","4","2","38","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","69","247","1","1","20080111","HOU","MIN"
"Shot Chart Detail","0020700529","451","200779","Steve Novak","1610612745","Houston Rockets","4","0","42","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-3","252","1","1","20080111","HOU","MIN"
"Shot Chart Detail","0020700529","455","200779","Steve Novak","1610612745","Houston Rockets","4","0","20","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","230","97","1","0","20080111","HOU","MIN"
"Shot Chart Detail","0020700649","285","200779","Steve Novak","1610612745","Houston Rockets","3","4","19","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-112","15","1","1","20080127","HOU","UTA"
"Shot Chart Detail","0020700649","300","200779","Steve Novak","1610612745","Houston Rockets","3","2","26","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","39","186","1","1","20080127","HOU","UTA"
"Shot Chart Detail","0020700649","304","200779","Steve Novak","1610612745","Houston Rockets","3","1","52","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-158","206","1","1","20080127","HOU","UTA"
"Shot Chart Detail","0020700649","313","200779","Steve Novak","1610612745","Houston Rockets","3","0","40","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","49","258","1","1","20080127","HOU","UTA"
"Shot Chart Detail","0020700661","377","200779","Steve Novak","1610612745","Houston Rockets","4","11","48","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","148","145","1","1","20080129","HOU","GSW"
