"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021300014","181","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","7","47","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","12","1","1","20131030","UTA","OKC"
"Shot Chart Detail","0021300027","130","203500","Steven Adams","1610612760","Oklahoma City Thunder","1","1","26","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","6","1","0","20131101","MIN","OKC"
"Shot Chart Detail","0021300027","131","203500","Steven Adams","1610612760","Oklahoma City Thunder","1","1","25","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","9","1","0","20131101","MIN","OKC"
"Shot Chart Detail","0021300027","471","203500","Steven Adams","1610612760","Oklahoma City Thunder","4","6","30","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","3","1","1","20131101","MIN","OKC"
"Shot Chart Detail","0021300027","493","203500","Steven Adams","1610612760","Oklahoma City Thunder","4","4","24","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-16","33","1","0","20131101","MIN","OKC"
"Shot Chart Detail","0021300027","495","203500","Steven Adams","1610612760","Oklahoma City Thunder","4","4","21","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","11","1","1","20131101","MIN","OKC"
"Shot Chart Detail","0021300044","148","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","9","8","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-26","-2","1","0","20131103","OKC","PHX"
"Shot Chart Detail","0021300044","150","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","9","6","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-15","1","1","0","20131103","OKC","PHX"
"Shot Chart Detail","0021300044","195","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","4","43","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","18","-2","1","1","20131103","OKC","PHX"
"Shot Chart Detail","0021300069","153","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","9","17","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-43","23","1","0","20131106","OKC","DAL"
"Shot Chart Detail","0021300069","185","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","6","37","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","6","1","1","20131106","OKC","DAL"
"Shot Chart Detail","0021300069","376","203500","Steven Adams","1610612760","Oklahoma City Thunder","3","2","34","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","6","1","1","20131106","OKC","DAL"
"Shot Chart Detail","0021300078","90","203500","Steven Adams","1610612760","Oklahoma City Thunder","1","2","41","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-76","-2","1","1","20131108","DET","OKC"
"Shot Chart Detail","0021300078","119","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","10","49","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","2","58","1","0","20131108","DET","OKC"
"Shot Chart Detail","0021300078","124","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","10","25","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","6","1","1","20131108","DET","OKC"
"Shot Chart Detail","0021300078","138","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","9","18","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","0","1","1","20131108","DET","OKC"
"Shot Chart Detail","0021300078","199","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","5","6","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","0","71","1","1","20131108","DET","OKC"
"Shot Chart Detail","0021300078","370","203500","Steven Adams","1610612760","Oklahoma City Thunder","3","4","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","4","1","1","20131108","DET","OKC"
"Shot Chart Detail","0021300078","434","203500","Steven Adams","1610612760","Oklahoma City Thunder","4","11","34","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-7","56","1","1","20131108","DET","OKC"
"Shot Chart Detail","0021300078","444","203500","Steven Adams","1610612760","Oklahoma City Thunder","4","11","6","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","0","1","1","20131108","DET","OKC"
"Shot Chart Detail","0021300078","465","203500","Steven Adams","1610612760","Oklahoma City Thunder","4","8","33","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","13","63","1","0","20131108","DET","OKC"
"Shot Chart Detail","0021300078","512","203500","Steven Adams","1610612760","Oklahoma City Thunder","4","3","28","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","4","1","0","20131108","DET","OKC"
"Shot Chart Detail","0021300095","166","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","10","6","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","51","26","1","0","20131110","OKC","WAS"
"Shot Chart Detail","0021300095","176","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","9","22","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","54","45","1","0","20131110","OKC","WAS"
"Shot Chart Detail","0021300095","420","203500","Steven Adams","1610612760","Oklahoma City Thunder","4","11","7","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","12","22","1","0","20131110","OKC","WAS"
"Shot Chart Detail","0021300122","24","203500","Steven Adams","1610612760","Oklahoma City Thunder","1","9","8","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-2","14","1","0","20131113","LAC","OKC"
"Shot Chart Detail","0021300122","65","203500","Steven Adams","1610612760","Oklahoma City Thunder","1","5","12","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","15","20","1","1","20131113","LAC","OKC"
"Shot Chart Detail","0021300122","91","203500","Steven Adams","1610612760","Oklahoma City Thunder","1","2","4","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","56","69","1","1","20131113","LAC","OKC"
"Shot Chart Detail","0021300122","363","203500","Steven Adams","1610612760","Oklahoma City Thunder","3","5","30","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","9","1","1","20131113","LAC","OKC"
"Shot Chart Detail","0021300124","225","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","1","35","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","0","20","1","1","20131114","GSW","OKC"
"Shot Chart Detail","0021300144","122","203500","Steven Adams","1610612760","Oklahoma City Thunder","2","10","32","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","28","6","1","0","20131116","MIL","OKC"
