"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400148","273","203933","T.J. Warren","1610612756","Phoenix Suns","2","0","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","12","1","0","20141117","BOS","PHX"
"Shot Chart Detail","0021400148","425","203933","T.J. Warren","1610612756","Phoenix Suns","4","11","11","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","170","85","1","1","20141117","BOS","PHX"
"Shot Chart Detail","0021400148","438","203933","T.J. Warren","1610612756","Phoenix Suns","4","10","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-3","3","1","0","20141117","BOS","PHX"
"Shot Chart Detail","0021400148","449","203933","T.J. Warren","1610612756","Phoenix Suns","4","9","0","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","3","1","1","20141117","BOS","PHX"
"Shot Chart Detail","0021400148","491","203933","T.J. Warren","1610612756","Phoenix Suns","4","5","24","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","116","219","1","1","20141117","BOS","PHX"
"Shot Chart Detail","0021400165","121","203933","T.J. Warren","1610612756","Phoenix Suns","1","0","42","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","7","1","1","20141119","DET","PHX"
"Shot Chart Detail","0021400165","143","203933","T.J. Warren","1610612756","Phoenix Suns","2","10","56","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","32","22","1","0","20141119","DET","PHX"
"Shot Chart Detail","0021400173","238","203933","T.J. Warren","1610612756","Phoenix Suns","2","2","31","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141121","PHI","PHX"
"Shot Chart Detail","0021400173","387","203933","T.J. Warren","1610612756","Phoenix Suns","3","1","2","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","226","142","1","0","20141121","PHI","PHX"
"Shot Chart Detail","0021400173","406","203933","T.J. Warren","1610612756","Phoenix Suns","4","11","25","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","17","19","1","0","20141121","PHI","PHX"
"Shot Chart Detail","0021400173","417","203933","T.J. Warren","1610612756","Phoenix Suns","4","10","14","Made Shot","Running Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-29","0","1","1","20141121","PHI","PHX"
"Shot Chart Detail","0021400173","421","203933","T.J. Warren","1610612756","Phoenix Suns","4","9","23","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-11","19","1","0","20141121","PHI","PHX"
"Shot Chart Detail","0021400173","492","203933","T.J. Warren","1610612756","Phoenix Suns","4","5","12","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","-13","170","1","0","20141121","PHI","PHX"
"Shot Chart Detail","0021400173","532","203933","T.J. Warren","1610612756","Phoenix Suns","4","1","50","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-139","-5","1","0","20141121","PHI","PHX"
"Shot Chart Detail","0021400232","165","203933","T.J. Warren","1610612756","Phoenix Suns","2","8","52","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","146","168","1","0","20141128","DEN","PHX"
"Shot Chart Detail","0021400232","188","203933","T.J. Warren","1610612756","Phoenix Suns","2","7","18","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-218","101","1","1","20141128","DEN","PHX"
