"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021600026","487","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","3","30","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","-11","1","0","20161029","PHI","ATL"
"Shot Chart Detail","0021600026","519","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","0","26","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-45","13","1","1","20161029","PHI","ATL"
"Shot Chart Detail","0021600100","210","1627752","Taurean Prince","1610612737","Atlanta Hawks","2","5","23","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","-6","1","1","20161108","CLE","ATL"
"Shot Chart Detail","0021600100","465","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","9","45","Missed Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-19","47","1","0","20161108","CLE","ATL"
"Shot Chart Detail","0021600132","548","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","0","42","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","7","1","1","20161112","ATL","PHI"
"Shot Chart Detail","0021600132","551","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","0","5","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-9","100","1","0","20161112","ATL","PHI"
"Shot Chart Detail","0021600163","102","1627752","Taurean Prince","1610612737","Atlanta Hawks","1","2","23","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","199","-10","1","1","20161116","ATL","MIL"
"Shot Chart Detail","0021600163","128","1627752","Taurean Prince","1610612737","Atlanta Hawks","1","0","27","Missed Shot","Turnaround Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","197","195","1","0","20161116","ATL","MIL"
"Shot Chart Detail","0021600163","146","1627752","Taurean Prince","1610612737","Atlanta Hawks","2","11","10","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20161116","ATL","MIL"
"Shot Chart Detail","0021600163","164","1627752","Taurean Prince","1610612737","Atlanta Hawks","2","9","13","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-79","237","1","0","20161116","ATL","MIL"
"Shot Chart Detail","0021600163","423","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","10","38","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","138","208","1","0","20161116","ATL","MIL"
"Shot Chart Detail","0021600174","82","1627752","Taurean Prince","1610612737","Atlanta Hawks","1","3","10","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","84","7","1","1","20161118","CHA","ATL"
"Shot Chart Detail","0021600174","229","1627752","Taurean Prince","1610612737","Atlanta Hawks","2","0","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","101","41","1","0","20161118","CHA","ATL"
"Shot Chart Detail","0021600193","78","1627752","Taurean Prince","1610612737","Atlanta Hawks","1","3","3","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","1","75","1","0","20161120","NYK","ATL"
"Shot Chart Detail","0021600193","114","1627752","Taurean Prince","1610612737","Atlanta Hawks","1","0","42","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","89","11","1","1","20161120","NYK","ATL"
"Shot Chart Detail","0021600193","135","1627752","Taurean Prince","1610612737","Atlanta Hawks","2","11","3","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-241","-6","1","0","20161120","NYK","ATL"
"Shot Chart Detail","0021600193","148","1627752","Taurean Prince","1610612737","Atlanta Hawks","2","9","51","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-12","-1","1","0","20161120","NYK","ATL"
"Shot Chart Detail","0021600193","410","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","10","49","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","22","11","1","1","20161120","NYK","ATL"
"Shot Chart Detail","0021600193","417","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","10","1","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-1","11","1","0","20161120","NYK","ATL"
"Shot Chart Detail","0021600193","436","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","7","9","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","238","26","1","0","20161120","NYK","ATL"
"Shot Chart Detail","0021600193","446","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","6","9","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-24","7","1","0","20161120","NYK","ATL"
"Shot Chart Detail","0021600209","395","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","10","23","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-222","21","1","0","20161122","ATL","NOP"
"Shot Chart Detail","0021600209","402","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","9","21","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-183","56","1","1","20161122","ATL","NOP"
"Shot Chart Detail","0021600209","428","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","7","14","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","102","232","1","1","20161122","ATL","NOP"
"Shot Chart Detail","0021600209","430","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","6","39","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-37","239","1","0","20161122","ATL","NOP"
"Shot Chart Detail","0021600209","445","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","5","44","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","128","2","1","1","20161122","ATL","NOP"
"Shot Chart Detail","0021600209","485","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","2","7","Made Shot","Pullup Jump shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-223","38","1","1","20161122","ATL","NOP"
"Shot Chart Detail","0021600216","103","1627752","Taurean Prince","1610612737","Atlanta Hawks","2","10","45","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","148","7","1","1","20161123","IND","ATL"
"Shot Chart Detail","0021600216","376","1627752","Taurean Prince","1610612737","Atlanta Hawks","3","1","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-151","213","1","0","20161123","IND","ATL"
"Shot Chart Detail","0021600216","397","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","11","43","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","217","105","1","1","20161123","IND","ATL"
"Shot Chart Detail","0021600216","442","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","7","29","Made Shot","Pullup Bank shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","102","31","1","1","20161123","IND","ATL"
"Shot Chart Detail","0021600231","126","1627752","Taurean Prince","1610612737","Atlanta Hawks","2","11","2","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","16","1","1","20161125","UTA","ATL"
"Shot Chart Detail","0021600231","133","1627752","Taurean Prince","1610612737","Atlanta Hawks","2","9","51","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","191","154","1","1","20161125","UTA","ATL"
"Shot Chart Detail","0021600231","166","1627752","Taurean Prince","1610612737","Atlanta Hawks","2","7","45","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","215","110","1","0","20161125","UTA","ATL"
"Shot Chart Detail","0021600231","467","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","3","44","Made Shot","Running Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","145","203","1","1","20161125","UTA","ATL"
"Shot Chart Detail","0021600231","469","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","3","2","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","23","-117","208","1","0","20161125","UTA","ATL"
"Shot Chart Detail","0021600231","491","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","0","35","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","66","11","1","0","20161125","UTA","ATL"
"Shot Chart Detail","0021600252","467","1627752","Taurean Prince","1610612737","Atlanta Hawks","4","3","31","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-117","232","1","0","20161127","LAL","ATL"
"Shot Chart Detail","0021600288","252","1627752","Taurean Prince","1610612737","Atlanta Hawks","2","0","43","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-173","183","1","1","20161202","ATL","DET"
