"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100059","524","202227","Terrel Harris","1610612748","Miami Heat","4","5","0","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-19","19","1","1","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","527","202227","Terrel Harris","1610612748","Miami Heat","4","4","25","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","19","1","0","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","535","202227","Terrel Harris","1610612748","Miami Heat","4","3","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","4","1","0","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","545","202227","Terrel Harris","1610612748","Miami Heat","4","2","41","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-204","140","1","1","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","566","202227","Terrel Harris","1610612748","Miami Heat","4","0","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-212","149","1","0","20120101","MIA","CHA"
"Shot Chart Detail","0021100059","570","202227","Terrel Harris","1610612748","Miami Heat","4","0","27","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","7","14","1","1","20120101","MIA","CHA"
"Shot Chart Detail","0021100086","557","202227","Terrel Harris","1610612748","Miami Heat","4","1","43","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-204","151","1","1","20120104","MIA","IND"
"Shot Chart Detail","0021100094","76","202227","Terrel Harris","1610612748","Miami Heat","1","3","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-141","206","1","0","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","111","202227","Terrel Harris","1610612748","Miami Heat","2","11","41","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","15","1","0","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","118","202227","Terrel Harris","1610612748","Miami Heat","2","10","36","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-152","194","1","1","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","461","202227","Terrel Harris","1610612748","Miami Heat","4","9","6","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","11","1","1","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","480","202227","Terrel Harris","1610612748","Miami Heat","4","7","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-164","181","1","0","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","511","202227","Terrel Harris","1610612748","Miami Heat","4","4","6","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","217","129","1","0","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","612","202227","Terrel Harris","1610612748","Miami Heat","5","2","6","Missed Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","3","1","0","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","648","202227","Terrel Harris","1610612748","Miami Heat","6","4","11","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","6","1","1","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","652","202227","Terrel Harris","1610612748","Miami Heat","6","3","33","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","39","1","0","20120105","ATL","MIA"
"Shot Chart Detail","0021100112","202","202227","Terrel Harris","1610612748","Miami Heat","2","4","37","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","-17","1","0","20120107","NJN","MIA"
"Shot Chart Detail","0021100112","402","202227","Terrel Harris","1610612748","Miami Heat","4","11","37","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","-6","1","0","20120107","NJN","MIA"
"Shot Chart Detail","0021100112","407","202227","Terrel Harris","1610612748","Miami Heat","4","11","10","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","9","1","1","20120107","NJN","MIA"
"Shot Chart Detail","0021100112","434","202227","Terrel Harris","1610612748","Miami Heat","4","8","53","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-24","17","1","0","20120107","NJN","MIA"
"Shot Chart Detail","0021100112","504","202227","Terrel Harris","1610612748","Miami Heat","4","4","30","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","14","1","1","20120107","NJN","MIA"
"Shot Chart Detail","0021100168","550","202227","Terrel Harris","1610612748","Miami Heat","4","0","42","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-239","33","1","0","20120113","DEN","MIA"
"Shot Chart Detail","0021100229","462","202227","Terrel Harris","1610612748","Miami Heat","4","0","50","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","84","230","1","1","20120121","MIA","PHI"
"Shot Chart Detail","0021100757","140","202227","Terrel Harris","1610612748","Miami Heat","2","10","44","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","174","176","1","1","20120330","TOR","MIA"
"Shot Chart Detail","0021100757","168","202227","Terrel Harris","1610612748","Miami Heat","2","8","17","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","11","1","1","20120330","TOR","MIA"
"Shot Chart Detail","0021100757","334","202227","Terrel Harris","1610612748","Miami Heat","3","3","18","Missed Shot","Running Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","3","1","0","20120330","TOR","MIA"
"Shot Chart Detail","0021100794","179","202227","Terrel Harris","1610612748","Miami Heat","2","7","5","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-5","20","1","1","20120403","MIA","PHI"
"Shot Chart Detail","0021100794","205","202227","Terrel Harris","1610612748","Miami Heat","2","5","11","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-229","39","1","0","20120403","MIA","PHI"
