"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021200007","163","203080","Thomas Robinson","1610612758","Sacramento Kings","2","8","8","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-23","11","1","0","20121031","CHI","SAC"
"Shot Chart Detail","0021200007","167","203080","Thomas Robinson","1610612758","Sacramento Kings","2","7","48","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-16","12","1","1","20121031","CHI","SAC"
"Shot Chart Detail","0021200007","170","203080","Thomas Robinson","1610612758","Sacramento Kings","2","7","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","174","112","1","0","20121031","CHI","SAC"
"Shot Chart Detail","0021200007","319","203080","Thomas Robinson","1610612758","Sacramento Kings","3","7","9","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-46","17","1","0","20121031","CHI","SAC"
"Shot Chart Detail","0021200007","365","203080","Thomas Robinson","1610612758","Sacramento Kings","3","3","55","Missed Shot","Driving Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","50","30","1","0","20121031","CHI","SAC"
"Shot Chart Detail","0021200023","184","203080","Thomas Robinson","1610612758","Sacramento Kings","2","9","9","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","4","12","1","0","20121102","MIN","SAC"
"Shot Chart Detail","0021200028","166","203080","Thomas Robinson","1610612758","Sacramento Kings","2","8","7","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-23","-2","1","0","20121103","IND","SAC"
"Shot Chart Detail","0021200028","168","203080","Thomas Robinson","1610612758","Sacramento Kings","2","8","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","0","23","1","0","20121103","IND","SAC"
"Shot Chart Detail","0021200028","376","203080","Thomas Robinson","1610612758","Sacramento Kings","3","1","8","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-134","115","1","1","20121103","IND","SAC"
"Shot Chart Detail","0021200028","394","203080","Thomas Robinson","1610612758","Sacramento Kings","4","11","12","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","9","1","1","20121103","IND","SAC"
"Shot Chart Detail","0021200028","409","203080","Thomas Robinson","1610612758","Sacramento Kings","4","9","49","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","1","1","1","20121103","IND","SAC"
"Shot Chart Detail","0021200028","445","203080","Thomas Robinson","1610612758","Sacramento Kings","4","6","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","159","123","1","0","20121103","IND","SAC"
"Shot Chart Detail","0021200048","168","203080","Thomas Robinson","1610612758","Sacramento Kings","2","6","45","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-144","99","1","0","20121105","SAC","GSW"
"Shot Chart Detail","0021200048","191","203080","Thomas Robinson","1610612758","Sacramento Kings","2","5","14","Missed Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","14","1","0","20121105","SAC","GSW"
"Shot Chart Detail","0021200048","200","203080","Thomas Robinson","1610612758","Sacramento Kings","2","4","10","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","42","25","1","1","20121105","SAC","GSW"
"Shot Chart Detail","0021200048","206","203080","Thomas Robinson","1610612758","Sacramento Kings","2","3","38","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-7","15","1","1","20121105","SAC","GSW"
"Shot Chart Detail","0021200048","227","203080","Thomas Robinson","1610612758","Sacramento Kings","2","1","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-48","190","1","0","20121105","SAC","GSW"
"Shot Chart Detail","0021200048","415","203080","Thomas Robinson","1610612758","Sacramento Kings","4","8","22","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-2","37","1","1","20121105","SAC","GSW"
"Shot Chart Detail","0021200063","184","203080","Thomas Robinson","1610612758","Sacramento Kings","2","5","17","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","6","1","1","20121107","SAC","DET"
"Shot Chart Detail","0021200063","197","203080","Thomas Robinson","1610612758","Sacramento Kings","2","4","50","Missed Shot","Tip Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","19","42","1","0","20121107","SAC","DET"
"Shot Chart Detail","0021200107","105","203080","Thomas Robinson","1610612758","Sacramento Kings","1","1","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","94","124","1","0","20121113","SAC","POR"
"Shot Chart Detail","0021200107","121","203080","Thomas Robinson","1610612758","Sacramento Kings","2","10","48","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","4","1","1","20121113","SAC","POR"
"Shot Chart Detail","0021200107","168","203080","Thomas Robinson","1610612758","Sacramento Kings","2","5","40","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","1","1","1","20121113","SAC","POR"
"Shot Chart Detail","0021200107","177","203080","Thomas Robinson","1610612758","Sacramento Kings","2","5","7","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-26","4","1","1","20121113","SAC","POR"
"Shot Chart Detail","0021200107","223","203080","Thomas Robinson","1610612758","Sacramento Kings","2","0","0","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","11","1","1","20121113","SAC","POR"
"Shot Chart Detail","0021200107","314","203080","Thomas Robinson","1610612758","Sacramento Kings","3","1","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","136","66","1","0","20121113","SAC","POR"
"Shot Chart Detail","0021200107","350","203080","Thomas Robinson","1610612758","Sacramento Kings","4","10","11","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","6","154","1","1","20121113","SAC","POR"
"Shot Chart Detail","0021200128","120","203080","Thomas Robinson","1610612758","Sacramento Kings","2","10","22","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","26","12","1","0","20121116","SAC","ATL"
"Shot Chart Detail","0021200128","360","203080","Thomas Robinson","1610612758","Sacramento Kings","4","11","23","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-29","6","1","1","20121116","SAC","ATL"
"Shot Chart Detail","0021200128","377","203080","Thomas Robinson","1610612758","Sacramento Kings","4","9","30","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-2","52","1","1","20121116","SAC","ATL"
"Shot Chart Detail","0021200142","111","203080","Thomas Robinson","1610612758","Sacramento Kings","1","0","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-147","30","1","0","20121118","SAC","BKN"
"Shot Chart Detail","0021200142","128","203080","Thomas Robinson","1610612758","Sacramento Kings","2","11","14","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","9","1","1","20121118","SAC","BKN"
"Shot Chart Detail","0021200142","305","203080","Thomas Robinson","1610612758","Sacramento Kings","3","5","57","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-37","22","1","0","20121118","SAC","BKN"
"Shot Chart Detail","0021200142","384","203080","Thomas Robinson","1610612758","Sacramento Kings","4","10","10","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","9","1","1","20121118","SAC","BKN"
