"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020400007","388","2754","Tony Allen","1610612738","Boston Celtics","4","11","19","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","2","1","1","20041103","BOS","PHI"
"Shot Chart Detail","0020400022","379","2754","Tony Allen","1610612738","Boston Celtics","4","11","6","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","66","53","1","0","20041105","BOS","IND"
"Shot Chart Detail","0020400032","372","2754","Tony Allen","1610612738","Boston Celtics","4","9","45","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","39","43","1","0","20041106","NYK","BOS"
"Shot Chart Detail","0020400032","430","2754","Tony Allen","1610612738","Boston Celtics","4","3","24","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041106","NYK","BOS"
"Shot Chart Detail","0020400059","112","2754","Tony Allen","1610612738","Boston Celtics","2","11","55","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-6","0","1","0","20041110","BOS","POR"
"Shot Chart Detail","0020400059","137","2754","Tony Allen","1610612738","Boston Celtics","2","8","53","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-153","26","1","1","20041110","BOS","POR"
"Shot Chart Detail","0020400059","359","2754","Tony Allen","1610612738","Boston Celtics","4","11","23","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","89","3","1","0","20041110","BOS","POR"
"Shot Chart Detail","0020400074","131","2754","Tony Allen","1610612738","Boston Celtics","2","9","53","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","2","1","1","20041112","BOS","CHA"
"Shot Chart Detail","0020400074","136","2754","Tony Allen","1610612738","Boston Celtics","2","9","21","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-69","35","1","0","20041112","BOS","CHA"
"Shot Chart Detail","0020400074","147","2754","Tony Allen","1610612738","Boston Celtics","2","8","44","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-25","10","1","0","20041112","BOS","CHA"
"Shot Chart Detail","0020400074","367","2754","Tony Allen","1610612738","Boston Celtics","4","10","9","Made Shot","Finger Roll Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","7","1","1","20041112","BOS","CHA"
"Shot Chart Detail","0020400074","369","2754","Tony Allen","1610612738","Boston Celtics","4","9","35","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-230","5","1","0","20041112","BOS","CHA"
"Shot Chart Detail","0020400074","374","2754","Tony Allen","1610612738","Boston Celtics","4","9","16","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-5","1","1","20041112","BOS","CHA"
"Shot Chart Detail","0020400074","392","2754","Tony Allen","1610612738","Boston Celtics","4","7","50","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","17","1","1","20041112","BOS","CHA"
"Shot Chart Detail","0020400074","402","2754","Tony Allen","1610612738","Boston Celtics","4","6","33","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-105","7","1","0","20041112","BOS","CHA"
"Shot Chart Detail","0020400074","412","2754","Tony Allen","1610612738","Boston Celtics","4","5","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","15","1","0","20041112","BOS","CHA"
