"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700301","549","1628470","Torrey Craig","1610612743","Denver Nuggets","4","3","7","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","55","242","1","0","20171128","UTA","DEN"
"Shot Chart Detail","0021700427","11","1628470","Torrey Craig","1610612743","Denver Nuggets","1","11","11","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-231","-9","1","0","20171215","DEN","NOP"
"Shot Chart Detail","0021700427","322","1628470","Torrey Craig","1610612743","Denver Nuggets","3","10","2","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","226","62","1","0","20171215","DEN","NOP"
"Shot Chart Detail","0021700427","338","1628470","Torrey Craig","1610612743","Denver Nuggets","3","8","1","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-40","6","1","0","20171215","DEN","NOP"
"Shot Chart Detail","0021700427","425","1628470","Torrey Craig","1610612743","Denver Nuggets","3","0","49","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","62","251","1","1","20171215","DEN","NOP"
"Shot Chart Detail","0021700427","459","1628470","Torrey Craig","1610612743","Denver Nuggets","4","10","7","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","7","19","1","1","20171215","DEN","NOP"
"Shot Chart Detail","0021700427","489","1628470","Torrey Craig","1610612743","Denver Nuggets","4","7","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","92","235","1","0","20171215","DEN","NOP"
"Shot Chart Detail","0021700447","37","1628470","Torrey Craig","1610612743","Denver Nuggets","1","8","15","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","106","228","1","1","20171218","OKC","DEN"
"Shot Chart Detail","0021700447","341","1628470","Torrey Craig","1610612743","Denver Nuggets","3","8","52","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","17","24","1","1","20171218","OKC","DEN"
"Shot Chart Detail","0021700447","374","1628470","Torrey Craig","1610612743","Denver Nuggets","3","4","48","Made Shot","Running Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","213","124","1","1","20171218","OKC","DEN"
"Shot Chart Detail","0021700447","399","1628470","Torrey Craig","1610612743","Denver Nuggets","3","3","5","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","8","6","1","1","20171218","OKC","DEN"
"Shot Chart Detail","0021700447","412","1628470","Torrey Craig","1610612743","Denver Nuggets","3","1","52","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-226","53","1","1","20171218","OKC","DEN"
"Shot Chart Detail","0021700462","19","1628470","Torrey Craig","1610612743","Denver Nuggets","1","10","33","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-203","147","1","1","20171220","DEN","MIN"
"Shot Chart Detail","0021700462","40","1628470","Torrey Craig","1610612743","Denver Nuggets","1","8","40","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","8","1","1","20171220","DEN","MIN"
"Shot Chart Detail","0021700462","198","1628470","Torrey Craig","1610612743","Denver Nuggets","2","7","25","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-223","22","1","0","20171220","DEN","MIN"
"Shot Chart Detail","0021700462","382","1628470","Torrey Craig","1610612743","Denver Nuggets","3","6","41","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-226","24","1","1","20171220","DEN","MIN"
"Shot Chart Detail","0021700478","143","1628470","Torrey Craig","1610612743","Denver Nuggets","1","0","0","Missed Shot","Pullup Jump shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","49","-116","477","1","0","20171222","POR","DEN"
"Shot Chart Detail","0021700478","152","1628470","Torrey Craig","1610612743","Denver Nuggets","2","11","42","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-155","222","1","0","20171222","POR","DEN"
"Shot Chart Detail","0021700489","127","1628470","Torrey Craig","1610612743","Denver Nuggets","1","1","59","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-227","0","1","0","20171223","GSW","DEN"
"Shot Chart Detail","0021700489","135","1628470","Torrey Craig","1610612743","Denver Nuggets","1","1","34","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","131","225","1","0","20171223","GSW","DEN"
"Shot Chart Detail","0021700489","148","1628470","Torrey Craig","1610612743","Denver Nuggets","1","0","4","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20171223","GSW","DEN"
"Shot Chart Detail","0021700503","132","1628470","Torrey Craig","1610612743","Denver Nuggets","1","0","38","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","96","261","1","0","20171226","DEN","UTA"
"Shot Chart Detail","0021700503","167","1628470","Torrey Craig","1610612743","Denver Nuggets","2","10","6","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","11","62","1","0","20171226","DEN","UTA"
"Shot Chart Detail","0021700503","437","1628470","Torrey Craig","1610612743","Denver Nuggets","3","1","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","106","233","1","0","20171226","DEN","UTA"
"Shot Chart Detail","0021700510","108","1628470","Torrey Craig","1610612743","Denver Nuggets","1","2","47","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20171227","MIN","DEN"
"Shot Chart Detail","0021700510","167","1628470","Torrey Craig","1610612743","Denver Nuggets","2","10","59","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-7","27","1","0","20171227","MIN","DEN"
"Shot Chart Detail","0021700510","172","1628470","Torrey Craig","1610612743","Denver Nuggets","2","10","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","118","228","1","0","20171227","MIN","DEN"
"Shot Chart Detail","0021700563","140","1628470","Torrey Craig","1610612743","Denver Nuggets","1","2","24","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-27","11","1","0","20180103","DEN","PHX"
"Shot Chart Detail","0021700574","92","1628470","Torrey Craig","1610612743","Denver Nuggets","1","4","21","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","225","9","1","0","20180105","DEN","UTA"
"Shot Chart Detail","0021700585","187","1628470","Torrey Craig","1610612743","Denver Nuggets","2","9","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","177","185","1","0","20180106","SAC","DEN"
