"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000017","461","202344","Trevor Booker","1610612764","Washington Wizards","4","7","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-56","183","1","0","20101028","ORL","WAS"
"Shot Chart Detail","0021000017","537","202344","Trevor Booker","1610612764","Washington Wizards","4","1","45","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","1","1","1","20101028","ORL","WAS"
"Shot Chart Detail","0021000017","544","202344","Trevor Booker","1610612764","Washington Wizards","4","1","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","0","1","0","20101028","ORL","WAS"
"Shot Chart Detail","0021000017","563","202344","Trevor Booker","1610612764","Washington Wizards","4","0","17","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","6","1","1","20101028","ORL","WAS"
"Shot Chart Detail","0021000031","245","202344","Trevor Booker","1610612764","Washington Wizards","2","1","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-111","45","1","0","20101030","ATL","WAS"
"Shot Chart Detail","0021000134","325","202344","Trevor Booker","1610612764","Washington Wizards","3","4","37","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-71","15","1","0","20101113","CHI","WAS"
"Shot Chart Detail","0021000134","407","202344","Trevor Booker","1610612764","Washington Wizards","4","8","25","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-34","-8","1","0","20101113","CHI","WAS"
"Shot Chart Detail","0021000134","441","202344","Trevor Booker","1610612764","Washington Wizards","4","5","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","114","172","1","0","20101113","CHI","WAS"
"Shot Chart Detail","0021000134","444","202344","Trevor Booker","1610612764","Washington Wizards","4","4","40","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","29","1","1","1","20101113","CHI","WAS"
"Shot Chart Detail","0021000153","312","202344","Trevor Booker","1610612764","Washington Wizards","3","6","14","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","111","173","1","0","20101116","WAS","TOR"
"Shot Chart Detail","0021000153","315","202344","Trevor Booker","1610612764","Washington Wizards","3","5","55","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","14","1","1","20101116","WAS","TOR"
"Shot Chart Detail","0021000153","338","202344","Trevor Booker","1610612764","Washington Wizards","3","3","6","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","0","1","1","20101116","WAS","TOR"
"Shot Chart Detail","0021000153","358","202344","Trevor Booker","1610612764","Washington Wizards","3","1","58","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","-23","123","1","0","20101116","WAS","TOR"
"Shot Chart Detail","0021000153","479","202344","Trevor Booker","1610612764","Washington Wizards","4","4","36","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","4","1","1","20101116","WAS","TOR"
"Shot Chart Detail","0021000153","502","202344","Trevor Booker","1610612764","Washington Wizards","4","3","29","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","-5","1","1","20101116","WAS","TOR"
"Shot Chart Detail","0021000160","334","202344","Trevor Booker","1610612764","Washington Wizards","3","1","43","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-103","30","1","0","20101117","BOS","WAS"
"Shot Chart Detail","0021000160","416","202344","Trevor Booker","1610612764","Washington Wizards","4","7","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-81","160","1","0","20101117","BOS","WAS"
"Shot Chart Detail","0021000160","423","202344","Trevor Booker","1610612764","Washington Wizards","4","5","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-86","11","1","0","20101117","BOS","WAS"
