"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020800714","497","201234","Trey Johnson","1610612739","Cleveland Cavaliers","4","0","50","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20090203","CLE","TOR"
"Shot Chart Detail","0020800774","154","201234","Trey Johnson","1610612739","Cleveland Cavaliers","2","11","6","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-152","55","1","0","20090211","CLE","PHX"
"Shot Chart Detail","0020800774","156","201234","Trey Johnson","1610612739","Cleveland Cavaliers","2","11","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-158","44","1","0","20090211","CLE","PHX"
"Shot Chart Detail","0020800774","520","201234","Trey Johnson","1610612739","Cleveland Cavaliers","4","4","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-180","48","1","0","20090211","CLE","PHX"
"Shot Chart Detail","0020800774","571","201234","Trey Johnson","1610612739","Cleveland Cavaliers","4","0","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","160","82","1","0","20090211","CLE","PHX"
"Shot Chart Detail","0021000670","162","201234","Trey Johnson","1610612761","Toronto Raptors","2","7","55","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-15","12","1","0","20110126","TOR","PHI"
"Shot Chart Detail","0021000670","167","201234","Trey Johnson","1610612761","Toronto Raptors","2","6","28","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-133","209","1","1","20110126","TOR","PHI"
"Shot Chart Detail","0021000670","389","201234","Trey Johnson","1610612761","Toronto Raptors","4","11","24","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-226","12","1","0","20110126","TOR","PHI"
"Shot Chart Detail","0021000670","488","201234","Trey Johnson","1610612761","Toronto Raptors","4","0","40","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","6","1","0","20110126","TOR","PHI"
"Shot Chart Detail","0021000683","97","201234","Trey Johnson","1610612761","Toronto Raptors","1","2","7","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-59","-16","1","0","20110128","TOR","MIL"
"Shot Chart Detail","0021000695","110","201234","Trey Johnson","1610612761","Toronto Raptors","1","2","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","136","176","1","0","20110129","MIN","TOR"
"Shot Chart Detail","0021000695","145","201234","Trey Johnson","1610612761","Toronto Raptors","2","11","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","100","160","1","0","20110129","MIN","TOR"
"Shot Chart Detail","0021000695","156","201234","Trey Johnson","1610612761","Toronto Raptors","2","10","35","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","41","1","0","20110129","MIN","TOR"
"Shot Chart Detail","0021000695","247","201234","Trey Johnson","1610612761","Toronto Raptors","2","3","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","154","80","1","0","20110129","MIN","TOR"
"Shot Chart Detail","0021000695","405","201234","Trey Johnson","1610612761","Toronto Raptors","3","4","26","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","168","33","1","1","20110129","MIN","TOR"
"Shot Chart Detail","0021000695","422","201234","Trey Johnson","1610612761","Toronto Raptors","3","2","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","-13","172","1","0","20110129","MIN","TOR"
"Shot Chart Detail","0021000695","517","201234","Trey Johnson","1610612761","Toronto Raptors","4","6","27","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-112","168","1","0","20110129","MIN","TOR"
"Shot Chart Detail","0021000695","566","201234","Trey Johnson","1610612761","Toronto Raptors","4","1","54","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","0","1","1","20110129","MIN","TOR"
