"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500007","83","1626168","Trey Lyles","1610612762","Utah Jazz","1","1","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-147","-5","1","0","20151028","DET","UTA"
"Shot Chart Detail","0021500023","509","1626168","Trey Lyles","1610612762","Utah Jazz","4","4","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-129","-21","1","0","20151030","PHI","UTA"
"Shot Chart Detail","0021500023","546","1626168","Trey Lyles","1610612762","Utah Jazz","4","1","11","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-4","65","1","0","20151030","PHI","UTA"
"Shot Chart Detail","0021500023","550","1626168","Trey Lyles","1610612762","Utah Jazz","4","0","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-91","198","1","0","20151030","PHI","UTA"
"Shot Chart Detail","0021500033","115","1626168","Trey Lyles","1610612762","Utah Jazz","1","1","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","-9","146","1","0","20151031","IND","UTA"
"Shot Chart Detail","0021500033","129","1626168","Trey Lyles","1610612762","Utah Jazz","1","0","33","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","-1","1","0","20151031","IND","UTA"
"Shot Chart Detail","0021500068","88","1626168","Trey Lyles","1610612762","Utah Jazz","1","2","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-132","205","1","0","20151104","UTA","POR"
"Shot Chart Detail","0021500068","104","1626168","Trey Lyles","1610612762","Utah Jazz","1","0","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","101","160","1","0","20151104","UTA","POR"
"Shot Chart Detail","0021500073","138","1626168","Trey Lyles","1610612762","Utah Jazz","2","9","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-122","139","1","0","20151105","DEN","UTA"
"Shot Chart Detail","0021500073","349","1626168","Trey Lyles","1610612762","Utah Jazz","3","3","44","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","2","1","1","20151105","DEN","UTA"
"Shot Chart Detail","0021500073","543","1626168","Trey Lyles","1610612762","Utah Jazz","4","0","57","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","168","23","1","0","20151105","DEN","UTA"
"Shot Chart Detail","0021500073","554","1626168","Trey Lyles","1610612762","Utah Jazz","4","0","18","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-12","9","1","0","20151105","DEN","UTA"
