"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100009","120","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","1","0","47","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","-2","1","1","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","130","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","2","11","22","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","14","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","132","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","2","11","17","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","3","1","1","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","137","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","2","10","21","Made Shot","Jump Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-11","26","1","1","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","174","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","2","6","54","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","24","52","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","419","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","4","9","57","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","11","1","1","20111226","CLE","TOR"
"Shot Chart Detail","0021100026","82","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","1","2","22","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","36","31","1","1","20111228","DET","CLE"
"Shot Chart Detail","0021100026","105","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","1","0","33","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","0","1","0","20111228","DET","CLE"
"Shot Chart Detail","0021100026","131","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","2","10","19","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","0","1","1","20111228","DET","CLE"
"Shot Chart Detail","0021100026","146","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","2","8","11","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","4","1","0","20111228","DET","CLE"
"Shot Chart Detail","0021100026","321","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","3","3","50","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","78","7","1","1","20111228","DET","CLE"
"Shot Chart Detail","0021100026","422","202684","Tristan Thompson","1610612739","Cleveland Cavaliers","4","5","3","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","56","22","1","1","20111228","DET","CLE"
