"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021300926","473","203584","Troy Daniels","1610612745","Houston Rockets","4","2","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-212","131","1","0","20140307","HOU","IND"
"Shot Chart Detail","0021300926","477","203584","Troy Daniels","1610612745","Houston Rockets","4","1","34","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-202","162","1","1","20140307","HOU","IND"
"Shot Chart Detail","0021300926","479","203584","Troy Daniels","1610612745","Houston Rockets","4","0","57","Made Shot","Turnaround Fadeaway shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","47","97","1","1","20140307","HOU","IND"
"Shot Chart Detail","0021300926","481","203584","Troy Daniels","1610612745","Houston Rockets","4","0","42","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-177","181","1","0","20140307","HOU","IND"
"Shot Chart Detail","0021301171","468","203584","Troy Daniels","1610612745","Houston Rockets","4","10","15","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-122","228","1","1","20140409","DEN","HOU"
"Shot Chart Detail","0021301171","483","203584","Troy Daniels","1610612745","Houston Rockets","4","8","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","198","157","1","0","20140409","DEN","HOU"
"Shot Chart Detail","0021301171","488","203584","Troy Daniels","1610612745","Houston Rockets","4","8","16","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","146","206","1","1","20140409","DEN","HOU"
"Shot Chart Detail","0021301171","498","203584","Troy Daniels","1610612745","Houston Rockets","4","7","36","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","28","-46","285","1","1","20140409","DEN","HOU"
"Shot Chart Detail","0021301171","537","203584","Troy Daniels","1610612745","Houston Rockets","4","3","1","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-174","179","1","1","20140409","DEN","HOU"
"Shot Chart Detail","0021301171","562","203584","Troy Daniels","1610612745","Houston Rockets","4","1","9","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","159","197","1","0","20140409","DEN","HOU"
"Shot Chart Detail","0021301194","422","203584","Troy Daniels","1610612745","Houston Rockets","4","9","45","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-228","45","1","0","20140412","HOU","NOP"
"Shot Chart Detail","0021301194","436","203584","Troy Daniels","1610612745","Houston Rockets","4","8","45","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","214","134","1","0","20140412","HOU","NOP"
"Shot Chart Detail","0021301194","464","203584","Troy Daniels","1610612745","Houston Rockets","4","6","31","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","122","224","1","0","20140412","HOU","NOP"
"Shot Chart Detail","0021301194","473","203584","Troy Daniels","1610612745","Houston Rockets","4","5","48","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-224","107","1","1","20140412","HOU","NOP"
"Shot Chart Detail","0021301194","494","203584","Troy Daniels","1610612745","Houston Rockets","4","3","42","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","203","173","1","0","20140412","HOU","NOP"
"Shot Chart Detail","0021301219","18","203584","Troy Daniels","1610612745","Houston Rockets","1","10","37","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","215","138","1","0","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","74","203584","Troy Daniels","1610612745","Houston Rockets","1","6","18","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-141","208","1","1","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","76","203584","Troy Daniels","1610612745","Houston Rockets","1","5","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","69","203","1","0","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","95","203584","Troy Daniels","1610612745","Houston Rockets","1","4","14","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","234","37","1","0","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","107","203584","Troy Daniels","1610612745","Houston Rockets","1","3","26","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-149","200","1","0","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","117","203584","Troy Daniels","1610612745","Houston Rockets","1","1","41","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","144","222","1","1","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","163","203584","Troy Daniels","1610612745","Houston Rockets","2","10","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","65","260","1","0","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","250","203584","Troy Daniels","1610612745","Houston Rockets","2","3","38","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","56","1","0","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","267","203584","Troy Daniels","1610612745","Houston Rockets","2","1","37","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","65","56","1","1","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","350","203584","Troy Daniels","1610612745","Houston Rockets","3","4","33","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-52","41","1","1","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","359","203584","Troy Daniels","1610612745","Houston Rockets","3","3","36","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-51","244","1","1","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","408","203584","Troy Daniels","1610612745","Houston Rockets","4","9","0","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","113","230","1","1","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","424","203584","Troy Daniels","1610612745","Houston Rockets","4","7","31","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","24","249","1","1","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","443","203584","Troy Daniels","1610612745","Houston Rockets","4","4","55","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-229","-3","1","1","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","467","203584","Troy Daniels","1610612745","Houston Rockets","4","1","36","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","69","33","1","0","20140416","NOP","HOU"
"Shot Chart Detail","0021301219","479","203584","Troy Daniels","1610612745","Houston Rockets","4","0","39","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-11","55","1","0","20140416","NOP","HOU"
"Shot Chart Detail","0021400003","600","203584","Troy Daniels","1610612745","Houston Rockets","4","6","7","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","226","14","1","0","20141028","LAL","HOU"
"Shot Chart Detail","0021400003","606","203584","Troy Daniels","1610612745","Houston Rockets","4","5","45","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","103","227","1","0","20141028","LAL","HOU"
"Shot Chart Detail","0021400003","639","203584","Troy Daniels","1610612745","Houston Rockets","4","2","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-146","195","1","0","20141028","LAL","HOU"
"Shot Chart Detail","0021400003","680","203584","Troy Daniels","1610612745","Houston Rockets","4","0","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","201","168","1","0","20141028","LAL","HOU"
"Shot Chart Detail","0021400003","683","203584","Troy Daniels","1610612745","Houston Rockets","4","0","15","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-234","22","1","0","20141028","LAL","HOU"
"Shot Chart Detail","0021400034","571","203584","Troy Daniels","1610612745","Houston Rockets","4","3","17","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-131","213","1","1","20141101","HOU","BOS"
"Shot Chart Detail","0021400034","600","203584","Troy Daniels","1610612745","Houston Rockets","4","1","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","234","107","1","0","20141101","HOU","BOS"
