"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100267","484","202715","Tyler Honeycutt","1610612758","Sacramento Kings","4","3","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-207","4","1","0","20120125","SAC","DEN"
"Shot Chart Detail","0021100267","482","202715","Tyler Honeycutt","1610612758","Sacramento Kings","4","3","35","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","8","1","1","20120125","SAC","DEN"
"Shot Chart Detail","0021100651","161","202715","Tyler Honeycutt","1610612758","Sacramento Kings","2","8","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-41","194","1","0","20120316","SAC","BOS"
"Shot Chart Detail","0021100651","175","202715","Tyler Honeycutt","1610612758","Sacramento Kings","2","8","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-95","189","1","0","20120316","SAC","BOS"
"Shot Chart Detail","0021100651","492","202715","Tyler Honeycutt","1610612758","Sacramento Kings","4","1","40","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-183","3","1","1","20120316","SAC","BOS"
"Shot Chart Detail","0021100665","485","202715","Tyler Honeycutt","1610612758","Sacramento Kings","4","4","2","Made Shot","Driving Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","9","1","1","20120318","SAC","MIN"
"Shot Chart Detail","0021100665","498","202715","Tyler Honeycutt","1610612758","Sacramento Kings","4","2","27","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","34","83","1","0","20120318","SAC","MIN"
"Shot Chart Detail","0021100814","183","202715","Tyler Honeycutt","1610612758","Sacramento Kings","2","7","25","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","11","59","101","1","0","20120405","SAC","LAC"
"Shot Chart Detail","0021100814","201","202715","Tyler Honeycutt","1610612758","Sacramento Kings","2","6","20","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","168","190","1","0","20120405","SAC","LAC"
"Shot Chart Detail","0021100833","535","202715","Tyler Honeycutt","1610612758","Sacramento Kings","4","0","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","125","160","1","0","20120407","LAC","SAC"
"Shot Chart Detail","0021100883","391","202715","Tyler Honeycutt","1610612758","Sacramento Kings","3","0","30","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","34","1","1","0","20120413","OKC","SAC"
"Shot Chart Detail","0021100883","496","202715","Tyler Honeycutt","1610612758","Sacramento Kings","4","5","0","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","233","64","1","0","20120413","OKC","SAC"
"Shot Chart Detail","0021100883","504","202715","Tyler Honeycutt","1610612758","Sacramento Kings","4","4","28","Missed Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","42","4","1","0","20120413","OKC","SAC"
"Shot Chart Detail","0021100883","519","202715","Tyler Honeycutt","1610612758","Sacramento Kings","4","3","15","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-169","99","1","1","20120413","OKC","SAC"
"Shot Chart Detail","0021100929","540","202715","Tyler Honeycutt","1610612758","Sacramento Kings","4","1","20","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","204","15","1","0","20120418","SAC","SAS"
