"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900012","2","201936","Tyreke Evans","1610612758","Sacramento Kings","1","11","41","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","31","201936","Tyreke Evans","1610612758","Sacramento Kings","1","7","27","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","59","201936","Tyreke Evans","1610612758","Sacramento Kings","1","5","33","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","69","201936","Tyreke Evans","1610612758","Sacramento Kings","1","4","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","154","23","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","177","201936","Tyreke Evans","1610612758","Sacramento Kings","2","6","56","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","216","201936","Tyreke Evans","1610612758","Sacramento Kings","2","3","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","204","142","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","291","201936","Tyreke Evans","1610612758","Sacramento Kings","3","11","27","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","301","201936","Tyreke Evans","1610612758","Sacramento Kings","3","9","49","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","310","201936","Tyreke Evans","1610612758","Sacramento Kings","3","8","25","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","328","201936","Tyreke Evans","1610612758","Sacramento Kings","3","7","18","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","338","201936","Tyreke Evans","1610612758","Sacramento Kings","3","6","31","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","349","201936","Tyreke Evans","1610612758","Sacramento Kings","3","5","19","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","356","201936","Tyreke Evans","1610612758","Sacramento Kings","3","4","23","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","485","201936","Tyreke Evans","1610612758","Sacramento Kings","4","4","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-157","142","1","0","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","506","201936","Tyreke Evans","1610612758","Sacramento Kings","4","2","48","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-122","143","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900028","24","201936","Tyreke Evans","1610612758","Sacramento Kings","1","8","49","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","163","47","1","1","20091030","NOH","SAC"
"Shot Chart Detail","0020900028","29","201936","Tyreke Evans","1610612758","Sacramento Kings","1","7","46","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","166","94","1","1","20091030","NOH","SAC"
"Shot Chart Detail","0020900028","67","201936","Tyreke Evans","1610612758","Sacramento Kings","1","4","29","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091030","NOH","SAC"
"Shot Chart Detail","0020900028","154","201936","Tyreke Evans","1610612758","Sacramento Kings","2","9","45","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","189","181","1","0","20091030","NOH","SAC"
"Shot Chart Detail","0020900028","222","201936","Tyreke Evans","1610612758","Sacramento Kings","2","4","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","2","172","1","0","20091030","NOH","SAC"
"Shot Chart Detail","0020900028","307","201936","Tyreke Evans","1610612758","Sacramento Kings","3","9","59","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-175","26","1","1","20091030","NOH","SAC"
"Shot Chart Detail","0020900028","319","201936","Tyreke Evans","1610612758","Sacramento Kings","3","9","8","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091030","NOH","SAC"
