"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021800014","29","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","9","48","Missed Shot","Turnaround Hook Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-88","22","1","0","20181018","PHI","CHI"
"Shot Chart Detail","0021800014","43","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","8","49","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-24","5","1","0","20181018","PHI","CHI"
"Shot Chart Detail","0021800014","46","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","8","42","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","25","159","1","1","20181018","PHI","CHI"
"Shot Chart Detail","0021800014","75","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","6","35","Made Shot","Floating Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-89","-15","1","1","20181018","PHI","CHI"
"Shot Chart Detail","0021800014","220","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","8","10","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-139","-13","1","0","20181018","PHI","CHI"
"Shot Chart Detail","0021800014","414","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","8","31","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","12","95","1","0","20181018","PHI","CHI"
"Shot Chart Detail","0021800014","449","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","6","55","Missed Shot","Turnaround Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-9","24","1","0","20181018","PHI","CHI"
"Shot Chart Detail","0021800014","656","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","4","4","19","Missed Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","6","35","1","0","20181018","PHI","CHI"
"Shot Chart Detail","0021800014","681","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","4","2","47","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20181018","PHI","CHI"
"Shot Chart Detail","0021800014","698","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","4","1","21","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20181018","PHI","CHI"
"Shot Chart Detail","0021800031","9","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","11","30","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","4","1","1","20181020","CHI","DET"
"Shot Chart Detail","0021800031","28","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","9","57","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","30","20","1","1","20181020","CHI","DET"
"Shot Chart Detail","0021800031","235","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","8","7","Missed Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","11","59","1","0","20181020","CHI","DET"
"Shot Chart Detail","0021800031","396","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","10","27","Made Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-100","55","1","1","20181020","CHI","DET"
"Shot Chart Detail","0021800031","401","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","10","1","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","35","154","1","1","20181020","CHI","DET"
"Shot Chart Detail","0021800031","447","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","6","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-133","184","1","0","20181020","CHI","DET"
"Shot Chart Detail","0021800044","7","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","11","47","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-2","108","1","1","20181022","DAL","CHI"
"Shot Chart Detail","0021800044","52","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","7","33","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","22","9","1","0","20181022","DAL","CHI"
"Shot Chart Detail","0021800044","160","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","10","57","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-40","190","1","0","20181022","DAL","CHI"
"Shot Chart Detail","0021800044","210","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","7","43","Missed Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-69","13","1","0","20181022","DAL","CHI"
"Shot Chart Detail","0021800044","311","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","11","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-158","78","1","0","20181022","DAL","CHI"
"Shot Chart Detail","0021800044","361","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","5","59","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-3","8","1","1","20181022","DAL","CHI"
"Shot Chart Detail","0021800044","374","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","4","57","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","226","-3","1","0","20181022","DAL","CHI"
"Shot Chart Detail","0021800056","26","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","8","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-114","46","1","0","20181024","CHI","CHA"
"Shot Chart Detail","0021800056","257","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","3","37","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-52","12","1","0","20181024","CHI","CHA"
"Shot Chart Detail","0021800056","275","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","3","15","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-6","18","1","0","20181024","CHI","CHA"
"Shot Chart Detail","0021800056","282","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","3","13","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","15","1","0","20181024","CHI","CHA"
"Shot Chart Detail","0021800056","324","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","11","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","9","164","1","0","20181024","CHI","CHA"
"Shot Chart Detail","0021800056","338","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","9","41","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","12","95","1","1","20181024","CHI","CHA"
"Shot Chart Detail","0021800056","351","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","8","43","Made Shot","Turnaround Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","20","30","1","1","20181024","CHI","CHA"
"Shot Chart Detail","0021800067","13","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","11","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-2","21","1","0","20181026","CHA","CHI"
"Shot Chart Detail","0021800067","28","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","9","24","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-27","246","1","1","20181026","CHA","CHI"
"Shot Chart Detail","0021800067","255","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","4","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-150","0","1","0","20181026","CHA","CHI"
"Shot Chart Detail","0021800067","342","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","11","10","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-54","74","1","1","20181026","CHA","CHI"
"Shot Chart Detail","0021800067","586","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","4","3","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","10","172","1","0","20181026","CHA","CHI"
"Shot Chart Detail","0021800076","22","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","10","30","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-3","260","1","0","20181027","ATL","CHI"
"Shot Chart Detail","0021800076","51","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","8","33","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-155","57","1","1","20181027","ATL","CHI"
"Shot Chart Detail","0021800076","74","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","6","59","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-6","15","1","1","20181027","ATL","CHI"
"Shot Chart Detail","0021800076","116","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","4","20","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","12","1","1","20181027","ATL","CHI"
"Shot Chart Detail","0021800076","245","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","6","28","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-241","26","1","0","20181027","ATL","CHI"
"Shot Chart Detail","0021800076","308","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","2","55","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-46","69","1","0","20181027","ATL","CHI"
"Shot Chart Detail","0021800076","313","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","2","21","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","12","1","0","20181027","ATL","CHI"
"Shot Chart Detail","0021800076","401","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","9","14","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","81","77","1","1","20181027","ATL","CHI"
"Shot Chart Detail","0021800076","467","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","4","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","6","1","0","20181027","ATL","CHI"
"Shot Chart Detail","0021800091","9","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","11","23","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","13","162","1","0","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","26","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","9","37","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","23","20","1","0","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","51","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","7","49","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","33","252","1","0","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","66","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","6","46","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","-18","1","0","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","103","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","1","4","20","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-6","10","1","1","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","260","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","6","18","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","5","9","1","1","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","270","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","5","23","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","143","-6","1","1","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","286","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","4","1","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","43","121","1","0","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","327","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","2","2","15","Missed Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","3","1","0","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","385","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","10","34","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","119","-6","1","1","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","434","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","6","6","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","-6","160","1","1","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","461","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","4","36","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","11","1","1","20181029","CHI","GSW"
"Shot Chart Detail","0021800091","507","1628976","Wendell Carter Jr.","1610612741","Chicago Bulls","3","0","43","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","2","1","1","20181029","CHI","GSW"
