"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000009","83","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","1","2","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","155","23","1","0","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","135","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","1","0","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","171","175","1","0","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","158","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","2","9","50","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","50","41","1","0","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","164","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","2","9","14","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","3","1","1","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","223","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","2","5","20","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","9","58","71","1","1","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","271","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","2","2","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","196","157","1","0","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","273","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","2","2","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","-2","1","0","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","367","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","3","6","13","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","3","1","1","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","373","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","3","5","46","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-171","0","1","1","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","660","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","4","0","0","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","14","1","1","20101027","MIN","SAC"
"Shot Chart Detail","0021000026","68","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","1","5","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","-13","1","0","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","70","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","1","5","35","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","-2","1","1","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","98","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","1","3","36","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","157","184","1","1","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","141","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","1","1","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-160","192","1","0","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","249","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","2","5","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-81","244","1","0","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","455","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","3","2","20","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","67","198","1","1","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","461","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","3","1","48","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","151","26","1","0","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","482","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-183","198","1","0","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","567","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","4","3","40","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","92","235","1","1","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","603","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","4","0","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","103","220","1","0","20101029","MIN","MIL"
"Shot Chart Detail","0021000036","108","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","1","1","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-194","11","1","0","20101030","MEM","MIN"
"Shot Chart Detail","0021000036","124","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","2","11","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-125","132","1","0","20101030","MEM","MIN"
"Shot Chart Detail","0021000036","152","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","2","9","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","141","115","1","0","20101030","MEM","MIN"
"Shot Chart Detail","0021000036","254","202325","Wesley Johnson","1610612750","Minnesota Timberwolves","2","1","26","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","69","33","1","0","20101030","MEM","MIN"
