"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500283","337","203186","Willie Reed","1610612751","Brooklyn Nets","3","4","14","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151204","NYK","BKN"
"Shot Chart Detail","0021500283","379","203186","Willie Reed","1610612751","Brooklyn Nets","3","1","0","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","3","1","1","20151204","NYK","BKN"
"Shot Chart Detail","0021500283","385","203186","Willie Reed","1610612751","Brooklyn Nets","3","0","17","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151204","NYK","BKN"
"Shot Chart Detail","0021500283","501","203186","Willie Reed","1610612751","Brooklyn Nets","4","3","18","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","8","1","0","20151204","NYK","BKN"
"Shot Chart Detail","0021500300","133","203186","Willie Reed","1610612751","Brooklyn Nets","1","1","57","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-3","31","1","0","20151206","BKN","GSW"
"Shot Chart Detail","0021500300","131","203186","Willie Reed","1610612751","Brooklyn Nets","1","1","35","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","63","36","1","1","20151206","BKN","GSW"
"Shot Chart Detail","0021500300","524","203186","Willie Reed","1610612751","Brooklyn Nets","4","1","12","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151206","BKN","GSW"
"Shot Chart Detail","0021500329","155","203186","Willie Reed","1610612751","Brooklyn Nets","2","9","19","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-25","95","1","0","20151210","BKN","PHI"
"Shot Chart Detail","0021500329","247","203186","Willie Reed","1610612751","Brooklyn Nets","2","0","26","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151210","BKN","PHI"
"Shot Chart Detail","0021500329","337","203186","Willie Reed","1610612751","Brooklyn Nets","3","4","49","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151210","BKN","PHI"
"Shot Chart Detail","0021500329","345","203186","Willie Reed","1610612751","Brooklyn Nets","3","3","49","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151210","BKN","PHI"
"Shot Chart Detail","0021500344","90","203186","Willie Reed","1610612751","Brooklyn Nets","1","0","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-30","8","1","1","20151212","BKN","LAC"
"Shot Chart Detail","0021500358","371","203186","Willie Reed","1610612751","Brooklyn Nets","3","0","1","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","11","1","0","20151214","BKN","ORL"
"Shot Chart Detail","0021500358","458","203186","Willie Reed","1610612751","Brooklyn Nets","4","3","43","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","61","47","1","1","20151214","BKN","ORL"
"Shot Chart Detail","0021500358","463","203186","Willie Reed","1610612751","Brooklyn Nets","4","3","7","Missed Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20151214","BKN","ORL"
"Shot Chart Detail","0021500358","486","203186","Willie Reed","1610612751","Brooklyn Nets","4","0","19","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-1","65","1","0","20151214","BKN","ORL"
"Shot Chart Detail","0021500373","320","203186","Willie Reed","1610612751","Brooklyn Nets","3","0","21","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-22","9","1","1","20151216","BKN","MIA"
"Shot Chart Detail","0021500373","338","203186","Willie Reed","1610612751","Brooklyn Nets","4","10","26","Missed Shot","Turnaround Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-68","31","1","0","20151216","BKN","MIA"
"Shot Chart Detail","0021500403","114","203186","Willie Reed","1610612751","Brooklyn Nets","1","0","26","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-22","7","1","0","20151220","BKN","MIN"
"Shot Chart Detail","0021500403","349","203186","Willie Reed","1610612751","Brooklyn Nets","3","3","13","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-17","2","1","1","20151220","BKN","MIN"
"Shot Chart Detail","0021500414","131","203186","Willie Reed","1610612751","Brooklyn Nets","2","9","32","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","2","1","1","20151221","CHI","BKN"
"Shot Chart Detail","0021500414","149","203186","Willie Reed","1610612751","Brooklyn Nets","2","6","54","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","30","193","1","1","20151221","CHI","BKN"
"Shot Chart Detail","0021500414","151","203186","Willie Reed","1610612751","Brooklyn Nets","2","6","30","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","13","1","0","20151221","CHI","BKN"
"Shot Chart Detail","0021500414","152","203186","Willie Reed","1610612751","Brooklyn Nets","2","6","27","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-14","3","1","1","20151221","CHI","BKN"
"Shot Chart Detail","0021500414","371","203186","Willie Reed","1610612751","Brooklyn Nets","4","10","24","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-14","-1","1","1","20151221","CHI","BKN"
"Shot Chart Detail","0021500428","201","203186","Willie Reed","1610612751","Brooklyn Nets","2","4","17","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","8","1","1","20151223","BKN","DAL"
"Shot Chart Detail","0021500428","211","203186","Willie Reed","1610612751","Brooklyn Nets","2","3","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-129","116","1","0","20151223","BKN","DAL"
"Shot Chart Detail","0021500428","222","203186","Willie Reed","1610612751","Brooklyn Nets","2","2","5","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-22","11","1","1","20151223","BKN","DAL"
"Shot Chart Detail","0021500447","107","203186","Willie Reed","1610612751","Brooklyn Nets","1","1","14","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151226","BKN","WAS"
"Shot Chart Detail","0021500447","142","203186","Willie Reed","1610612751","Brooklyn Nets","2","9","45","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","27","2","1","1","20151226","BKN","WAS"
"Shot Chart Detail","0021500447","159","203186","Willie Reed","1610612751","Brooklyn Nets","2","8","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","104","154","1","0","20151226","BKN","WAS"
"Shot Chart Detail","0021500447","493","203186","Willie Reed","1610612751","Brooklyn Nets","4","1","55","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-24","-1","1","1","20151226","BKN","WAS"
"Shot Chart Detail","0021500462","204","203186","Willie Reed","1610612751","Brooklyn Nets","2","5","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","4","154","1","0","20151228","MIA","BKN"
"Shot Chart Detail","0021500462","211","203186","Willie Reed","1610612751","Brooklyn Nets","2","4","36","Made Shot","Jump Bank Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","35","8","1","1","20151228","MIA","BKN"
"Shot Chart Detail","0021500462","403","203186","Willie Reed","1610612751","Brooklyn Nets","4","10","58","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","8","1","1","20151228","MIA","BKN"
"Shot Chart Detail","0021500475","122","203186","Willie Reed","1610612751","Brooklyn Nets","1","0","25","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-20","67","1","1","20151230","ORL","BKN"
"Shot Chart Detail","0021500475","139","203186","Willie Reed","1610612751","Brooklyn Nets","2","11","15","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151230","ORL","BKN"
"Shot Chart Detail","0021500475","157","203186","Willie Reed","1610612751","Brooklyn Nets","2","10","12","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-37","36","1","0","20151230","ORL","BKN"
"Shot Chart Detail","0021500475","346","203186","Willie Reed","1610612751","Brooklyn Nets","3","1","18","Made Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-11","28","1","1","20151230","ORL","BKN"
"Shot Chart Detail","0021500475","373","203186","Willie Reed","1610612751","Brooklyn Nets","3","0","5","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-23","10","1","0","20151230","ORL","BKN"
"Shot Chart Detail","0021500495","76","203186","Willie Reed","1610612751","Brooklyn Nets","1","4","21","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-9","11","1","1","20160102","BOS","BKN"
"Shot Chart Detail","0021500495","98","203186","Willie Reed","1610612751","Brooklyn Nets","1","1","43","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-12","2","1","1","20160102","BOS","BKN"
"Shot Chart Detail","0021500495","260","203186","Willie Reed","1610612751","Brooklyn Nets","2","3","24","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","56","56","1","0","20160102","BOS","BKN"
"Shot Chart Detail","0021500495","261","203186","Willie Reed","1610612751","Brooklyn Nets","2","3","23","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","7","1","0","20160102","BOS","BKN"
"Shot Chart Detail","0021500495","415","203186","Willie Reed","1610612751","Brooklyn Nets","3","4","27","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","133","16","1","1","20160102","BOS","BKN"
"Shot Chart Detail","0021500495","428","203186","Willie Reed","1610612751","Brooklyn Nets","3","2","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-158","2","1","0","20160102","BOS","BKN"
"Shot Chart Detail","0021500529","85","203186","Willie Reed","1610612751","Brooklyn Nets","1","2","3","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-27","2","1","0","20160106","BKN","TOR"
"Shot Chart Detail","0021500529","464","203186","Willie Reed","1610612751","Brooklyn Nets","4","0","33","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20160106","BKN","TOR"
"Shot Chart Detail","0021500541","102","203186","Willie Reed","1610612751","Brooklyn Nets","1","1","12","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","7","1","0","20160108","BKN","ORL"
"Shot Chart Detail","0021500541","121","203186","Willie Reed","1610612751","Brooklyn Nets","2","11","14","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20160108","BKN","ORL"
"Shot Chart Detail","0021500553","96","203186","Willie Reed","1610612751","Brooklyn Nets","1","1","39","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","145","16","1","0","20160109","DET","BKN"
"Shot Chart Detail","0021500553","98","203186","Willie Reed","1610612751","Brooklyn Nets","1","1","30","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-5","1","1","20160109","DET","BKN"
"Shot Chart Detail","0021500553","190","203186","Willie Reed","1610612751","Brooklyn Nets","2","4","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","0","1","0","20160109","DET","BKN"
"Shot Chart Detail","0021500553","375","203186","Willie Reed","1610612751","Brooklyn Nets","4","8","46","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20160109","DET","BKN"
"Shot Chart Detail","0021500553","377","203186","Willie Reed","1610612751","Brooklyn Nets","4","7","57","Made Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","30","23","1","1","20160109","DET","BKN"
"Shot Chart Detail","0021500566","70","203186","Willie Reed","1610612751","Brooklyn Nets","1","2","22","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-27","-1","1","0","20160111","BKN","SAS"
"Shot Chart Detail","0021500566","87","203186","Willie Reed","1610612751","Brooklyn Nets","1","0","2","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-6","2","1","1","20160111","BKN","SAS"
"Shot Chart Detail","0021500579","62","203186","Willie Reed","1610612751","Brooklyn Nets","1","4","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","120","13","1","0","20160113","BKN","NYK"
"Shot Chart Detail","0021500579","75","203186","Willie Reed","1610612751","Brooklyn Nets","1","2","51","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","28","46","1","0","20160113","BKN","NYK"
"Shot Chart Detail","0021500579","82","203186","Willie Reed","1610612751","Brooklyn Nets","1","1","55","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-38","7","1","1","20160113","BKN","NYK"
"Shot Chart Detail","0021500602","442","203186","Willie Reed","1610612751","Brooklyn Nets","4","6","36","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","-1","1","1","20160116","ATL","BKN"
