"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000002","26","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","9","25","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001031","NJN","CLE"
"Shot Chart Detail","0020000002","43","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","7","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","123","11","1","0","20001031","NJN","CLE"
"Shot Chart Detail","0020000002","199","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","2","5","8","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001031","NJN","CLE"
"Shot Chart Detail","0020000002","275","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","3","10","55","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","7","51","1","0","20001031","NJN","CLE"
"Shot Chart Detail","0020000018","2","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","11","42","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-12","28","1","0","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","9","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","10","59","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-162","-19","1","1","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","25","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","8","39","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","13","1","0","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","27","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","8","32","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","13","1","0","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","246","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","2","1","1","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","0","1","1","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","250","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","2","0","20","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-98","93","1","1","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","266","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","3","10","8","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","17","1","1","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","278","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","3","8","22","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-4","34","1","1","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","280","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","3","7","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","174","-23","1","0","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","495","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","5","4","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","144","-13","1","0","20001101","CLE","SAC"
"Shot Chart Detail","0020000038","2","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","11","40","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-1","0","1","1","20001104","CLE","BOS"
"Shot Chart Detail","0020000038","29","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","8","43","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","3","36","1","0","20001104","CLE","BOS"
"Shot Chart Detail","0020000038","59","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","5","32","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","4","1","1","20001104","CLE","BOS"
"Shot Chart Detail","0020000038","69","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","4","28","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-23","4","1","1","20001104","CLE","BOS"
"Shot Chart Detail","0020000038","259","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","3","10","31","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","7","28","1","0","20001104","CLE","BOS"
"Shot Chart Detail","0020000038","270","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","3","9","32","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","13","1","0","20001104","CLE","BOS"
"Shot Chart Detail","0020000061","2","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","11","44","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","7","42","1","0","20001108","NYK","CLE"
"Shot Chart Detail","0020000061","24","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","9","18","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001108","NYK","CLE"
"Shot Chart Detail","0020000061","25","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","9","16","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001108","NYK","CLE"
"Shot Chart Detail","0020000061","45","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","1","4","52","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","16","47","1","1","20001108","NYK","CLE"
"Shot Chart Detail","0020000061","206","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","3","11","28","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-12","87","1","0","20001108","NYK","CLE"
"Shot Chart Detail","0020000061","235","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","3","8","8","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-71","47","1","0","20001108","NYK","CLE"
"Shot Chart Detail","0020000061","400","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","4","1","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","123","-6","1","0","20001108","NYK","CLE"
"Shot Chart Detail","0020000081","223","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","2","2","18","Missed Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","22","55","1","0","20001110","TOR","CLE"
"Shot Chart Detail","0020000081","261","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","3","11","29","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001110","TOR","CLE"
"Shot Chart Detail","0020000081","263","980","Zydrunas Ilgauskas","1610612739","Cleveland Cavaliers","3","10","53","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-141","11","1","0","20001110","TOR","CLE"
