"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612743","2014","00","Darrell Arthur","00","F","6-9","235","MAR 25, 1988","27","6","Kansas","201589"
"1610612743","2014","00","Ty Lawson","3","G","5-11","195","NOV 03, 1987","27","5","North Carolina","201951"
"1610612743","2014","00","Randy Foye","4","G","6-4","213","SEP 24, 1983","31","8","Villanova","200751"
"1610612743","2014","00","Will Barton","5","G","6-6","175","JAN 06, 1991","24","2","Memphis","203115"
"1610612743","2014","00","JJ Hickson","7","F-C","6-9","242","SEP 04, 1988","26","6","North Carolina State","201581"
"1610612743","2014","00","Danilo Gallinari","8","F","6-10","225","AUG 08, 1988","26","6"," ","201568"
"1610612743","2014","00","Erick Green","11","G","6-4","185","MAY 09, 1991","24","R","Virginia Tech","203475"
"1610612743","2014","00","Gary Harris","14","G","6-4","210","SEP 14, 1994","20","R","Michigan State","203914"
"1610612743","2014","00","Ian Clark","20","G","6-3","180","MAR 07, 1991","24","1","Belmont","203546"
"1610612743","2014","00","Wilson Chandler","21","F","6-8","225","MAY 10, 1987","28","7","DePaul","201163"
"1610612743","2014","00","Jamaal Franklin","22","G","6-5","191","JUL 21, 1991","23","1","San Diego State","203479"
"1610612743","2014","00","Jusuf Nurkic","23","C","6-11","280","AUG 23, 1994","20","R"," ","203994"
"1610612743","2014","00","Jameer Nelson","28","G","6-0","190","FEB 09, 1982","33","10",NA,"2749"
"1610612743","2014","00","Kenneth Faried","35","F","6-8","228","NOV 19, 1989","25","3","Morehead State","202702"
"1610612743","2014","00","Joffrey Lauvergne","77","F-C","6-11","220","SEP 30, 1991","23","R"," ","203530"
