"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612765","2013","00","Andre Drummond","0","C","6-10","270","AUG 10, 1993","20","1","Connecticut","203083"
"1610612765","2013","00","Chauncey Billups","1","G","6-3","210","SEP 25, 1976","37","16","Colorado","1497"
"1610612765","2013","00","Rodney Stuckey","3","G","6-5","205","APR 21, 1986","28","6","Eastern Washington","201155"
"1610612765","2013","00","Kentavious Caldwell-Pope","5","G","6-5","205","FEB 18, 1993","21","R","Georgia","203484"
"1610612765","2013","00","Josh Smith","6","F","6-9","225","DEC 05, 1985","28","9","No College","2746"
"1610612765","2013","00","Brandon Jennings","7","G","6-1","169","SEP 23, 1989","24","4"," ","201943"
"1610612765","2013","00","Tony Mitchell","9","F","6-8","235","APR 07, 1992","22","R","North Texas","203502"
"1610612765","2013","00","Greg Monroe","10","F-C","6-11","250","JUN 04, 1990","24","3","Georgetown","202328"
"1610612765","2013","00","Will Bynum","12","G","6-0","185","JAN 04, 1983","31","6","Georgia Tech","101198"
"1610612765","2013","00","Gigi Datome","13","F","6-8","215","NOV 27, 1987","26","R","Italy","203540"
"1610612765","2013","00","Kyle Singler","25","F","6-8","230","MAY 04, 1988","26","1","Duke","202713"
"1610612765","2013","00","Charlie Villanueva","31","F","6-11","232","AUG 24, 1984","29","8","Connecticut","101111"
"1610612765","2013","00","Jonas Jerebko","33","F","6-10","231","MAR 02, 1987","27","3"," ","201973"
"1610612765","2013","00","Peyton Siva","34","G","6-0","185","OCT 24, 1990","23","R","Louisville","203491"
"1610612765","2013","00","Josh Harrellson","55","F-C","6-10","275","FEB 12, 1989","25","2","Kentucky","202725"
