"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612744","2012","00","Scott Machado","1","G","6-1","205","JUN 08, 1990","23","R","Iona","203159"
"1610612744","2012","00","Jarrett Jack","2","G","6-3","197","OCT 28, 1983","29","7","Georgia Tech","101127"
"1610612744","2012","00","Brandon Rush","4","F-G","6-6","210","JUL 07, 1985","27","4","Kansas","201575"
"1610612744","2012","00","Carl Landry","7","F","6-9","248","SEP 19, 1983","29","5","Purdue","201171"
"1610612744","2012","00","David Lee","10","C-F","6-9","240","APR 29, 1983","30","7","Florida","101135"
"1610612744","2012","00","Klay Thompson","11","G","6-7","205","FEB 08, 1990","23","1","Washington State","202691"
"1610612744","2012","00","Andrew Bogut","12","C","7-0","260","NOV 28, 1984","28","7","Utah","101106"
"1610612744","2012","00","Andris Biedrins","15","C","7-0","242","APR 02, 1986","27","8",NA,"2740"
"1610612744","2012","00","Kent Bazemore","20","G","6-5","201","JUL 01, 1989","23","R","Old Dominion","203145"
"1610612744","2012","00","Draymond Green","23","F","6-7","230","MAR 04, 1990","23","R","Michigan State","203110"
"1610612744","2012","00","Dwayne Jones","27","F-C","6-11","248","JUN 09, 1983","30","5",NA,"101204"
"1610612744","2012","00","Stephen Curry","30","G","6-3","185","MAR 14, 1988","25","3","Davidson","201939"
"1610612744","2012","00","Festus Ezeli","31","C","6-11","255","OCT 21, 1989","23","R","Vanderbilt","203105"
"1610612744","2012","00","Harrison Barnes","40","F","6-8","210","MAY 30, 1992","21","R","North Carolina","203084"
"1610612744","2012","00","Richard Jefferson","44","F","6-7","230","JUN 21, 1980","33","11","Arizona","2210"
