"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612745","2016","00","Trevor Ariza","1","F","6-8","215","JUN 30, 1985","32","12","UCLA","2772"
"1610612745","2016","00","Patrick Beverley","2","G","6-1","185","JUL 12, 1988","28","4","Arkansas","201976"
"1610612745","2016","00","Ryan Anderson","3","F","6-10","240","MAY 06, 1988","29","8","California","201583"
"1610612745","2016","00","Montrezl Harrell","5","F","6-8","240","JAN 26, 1994","23","1","Louisville","1626149"
"1610612745","2016","00","Sam Dekker","7","F","6-9","230","MAY 06, 1994","23","1","Wisconsin","1626155"
"1610612745","2016","00","Bobby Brown","8","G","6-2","175","SEP 24, 1984","32","2","Cal State-Fullerton","201628"
"1610612745","2016","00","Eric Gordon","10","G","6-4","215","DEC 25, 1988","28","8","Indiana","201569"
"1610612745","2016","00","Lou Williams","12","G","6-1","175","OCT 27, 1986","30","11","No College","101150"
"1610612745","2016","00","James Harden","13","G","6-5","220","AUG 26, 1989","27","7","Arizona State","201935"
"1610612745","2016","00","Troy Williams","14","F","6-7","210","DEC 30, 1994","22","R","Indiana","1627786"
"1610612745","2016","00","Clint Capela","15","C","6-10","240","MAY 18, 1994","23","2","Switzerland","203991"
"1610612745","2016","00","Isaiah Taylor","17","G","6-3","170","JUL 11, 1994","22","R","Texas","1627819"
"1610612745","2016","00","Chinanu Onuaku","21","F-C","6-10","245","NOV 01, 1996","20","R","Louisville","1627778"
"1610612745","2016","00","Kyle Wiltjer","30","F","6-10","240","OCT 20, 1992","24","R","Gonzaga","1627787"
"1610612745","2016","00","Nene","42","C-F","6-11","250","SEP 13, 1982","34","14"," ","2403"
