"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612746","2016","00","Diamond Stone","0","C","6-11","255","FEB 10, 1997","20","R","Maryland","1627754"
"1610612746","2016","00","Raymond Felton","2","G","6-1","205","JUN 26, 1984","33","11","North Carolina","101109"
"1610612746","2016","00","Chris Paul","3","G","6-0","175","MAY 06, 1985","32","11","Wake Forest","101108"
"1610612746","2016","00","JJ Redick","4","G","6-4","190","JUN 24, 1984","33","10","Duke","200755"
"1610612746","2016","00","Marreese Speights","5","F-C","6-10","255","AUG 04, 1987","29","8","Florida","201578"
"1610612746","2016","00","DeAndre Jordan","6","C","6-11","265","JUL 21, 1988","28","8","Texas A&M","201599"
"1610612746","2016","00","Alan Anderson","9","F-G","6-6","220","OCT 16, 1982","34","7","Michigan State","101187"
"1610612746","2016","00","Brice Johnson","10","F","6-10","230","JUN 27, 1994","23","R","North Carolina","1627744"
"1610612746","2016","00","Jamal Crawford","11","G","6-5","195","MAR 20, 1980","37","16","Michigan","2037"
"1610612746","2016","00","Luc Mbah a Moute","12","F","6-8","230","SEP 09, 1986","30","8","California-Los Angeles","201601"
"1610612746","2016","00","Austin Rivers","25","G","6-4","200","AUG 01, 1992","24","4","Duke","203085"
"1610612746","2016","00","Brandon Bass","30","F","6-8","250","APR 30, 1985","32","11","Louisiana State","101138"
"1610612746","2016","00","Blake Griffin","32","F","6-10","251","MAR 16, 1989","28","6","Oklahoma","201933"
"1610612746","2016","00","Wesley Johnson","33","F","6-7","215","JUL 11, 1987","29","6","Syracuse","202325"
"1610612746","2016","00","Paul Pierce","34","F","6-7","235","OCT 13, 1977","39","18","Kansas","1718"
