"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612748","2009","00","Dorell Wright","1","F-G","6-9","210","DEC 02, 1985","24","5","South Kent School","2748"
"1610612748","2009","00","Dwyane Wade","3","G","6-4","220","JAN 17, 1982","28","6","Marquette","2548"
"1610612748","2009","00","Kenny Hasbrouck","4","G","6-3","190","AUG 14, 1986","23","R","Siena","202238"
"1610612748","2009","00","Quentin Richardson","5","F","6-6","228","APR 13, 1980","30","9","DePaul","2047"
"1610612748","2009","00","Mario Chalmers","6","G","6-1","190","MAY 19, 1986","24","1","Kansas","201596"
"1610612748","2009","00","Jermaine O'Neal","7","C","6-11","255","OCT 13, 1978","31","13","Eau Claire","979"
"1610612748","2009","00","Carlos Arroyo","8","G","6-2","202","JUL 30, 1979","30","7","Florida International","2306"
"1610612748","2009","00","Yakhouba Diawara","9","F-G","6-7","225","AUG 29, 1982","27","3","Pepperdine","200821"
"1610612748","2009","00","Rafer Alston","11","G","6-2","175","JUL 24, 1976","33","10","Fresno State","1747"
"1610612748","2009","00","Daequan Cook","14","G","6-5","210","APR 28, 1987","23","2","Ohio State","201161"
"1610612748","2009","00","Jamaal Magloire","21","C","6-11","255","MAY 21, 1978","32","9","Kentucky","2048"
"1610612748","2009","00","James Jones","22","F","6-8","220","OCT 04, 1980","29","6","Miami (FL)","2592"
"1610612748","2009","00","Michael Beasley","30","F","6-10","235","JAN 09, 1989","21","1","Kansas State","201563"
"1610612748","2009","00","Udonis Haslem","40","F","6-8","235","JUN 09, 1980","30","6","Florida","2617"
"1610612748","2009","00","Shavlik Randolph","42","F","6-10","236","NOV 24, 1983","26","4","Duke","101183"
"1610612748","2009","00","Joel Anthony","50","C","6-9","245","AUG 09, 1982","27","2","Nevada-Las Vegas","201202"
