"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612752","2015","00","Kevin Seraphin","1","F-C","6-10","278","DEC 07, 1989","26","5",NA,"202338"
"1610612752","2015","00","Langston Galloway","2","G","6-2","200","DEC 09, 1991","24","1"," ","204038"
"1610612752","2015","00","Jose Calderon","3","G","6-3","200","SEP 28, 1981","34","10"," ","101181"
"1610612752","2015","00","Arron Afflalo","4","G","6-5","210","OCT 15, 1985","30","8","UCLA","201167"
"1610612752","2015","00","Tony Wroten","5","G","6-6","205","APR 13, 1993","23","3","Washington","203100"
"1610612752","2015","00","Kristaps Porzingis","6","F-C","7-3","240","AUG 02, 1995","20","R"," ","204001"
"1610612752","2015","00","Carmelo Anthony","7","F","6-8","240","MAY 29, 1984","32","12","Syracuse","2546"
"1610612752","2015","00","Robin Lopez","8","C","7-0","255","APR 01, 1988","28","7","Stanford","201577"
"1610612752","2015","00","Kyle O'Quinn","9","F-C","6-10","250","MAR 26, 1990","26","3","Norfolk State","203124"
"1610612752","2015","00","Cleanthony Early","11","F","6-8","210","APR 17, 1991","25","1","Wichita State","203921"
"1610612752","2015","00","Jerian Grant","13","G","6-4","195","OCT 09, 1992","23","R","Notre Dame","1626170"
"1610612752","2015","00","Lou Amundson","17","F","6-9","220","DEC 07, 1982","33","9","Nevada-Las Vegas","200811"
"1610612752","2015","00","Sasha Vujacic","18","G","6-7","195","MAR 08, 1984","32","8",NA,"2756"
"1610612752","2015","00","Derrick Williams","23","F","6-8","240","MAY 25, 1991","25","4","Arizona","202682"
"1610612752","2015","00","Lance Thomas","42","F","6-8","235","APR 24, 1988","28","4","Duke","202498"
