"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612760","2010","00","Russell Westbrook","0","G","6-3","187","NOV 12, 1988","22","2","UCLA","201566"
"1610612760","2010","00","Thabo Sefolosha","2","G","6-7","215","MAY 02, 1984","27","4"," ","200757"
"1610612760","2010","00","Nate Robinson","3","G","5-9","180","MAY 31, 1984","27","5","Washington","101126"
"1610612760","2010","00","Nick Collison","4","F-C","6-10","255","OCT 26, 1980","30","6","Kansas","2555"
"1610612760","2010","00","Kendrick Perkins","5","C","6-10","280","NOV 10, 1984","26","7","No College","2570"
"1610612760","2010","00","Eric Maynor","6","G","6-3","175","JUN 11, 1987","24","1","Va Commonwealth","201953"
"1610612760","2010","00","Royal Ivey","7","G","6-4","215","DEC 20, 1981","29","6","Brigham Young","2767"
"1610612760","2010","00","Nazr Mohammed","8","C","6-10","250","SEP 05, 1977","33","12","Kentucky","1737"
"1610612760","2010","00","Serge Ibaka","9","F-C","6-10","235","SEP 18, 1989","21","1"," ","201586"
"1610612760","2010","00","James Harden","13","G","6-5","220","AUG 26, 1989","21","1","Arizona State","201935"
"1610612760","2010","00","Daequan Cook","14","G","6-5","210","APR 28, 1987","24","3","Ohio State","201161"
"1610612760","2010","00","Byron Mullens","23","C","7-0","275","FEB 14, 1989","22","1","Ohio State","201957"
"1610612760","2010","00","Robert Vaden","30","G-F","6-5","205","MAR 03, 1985","26","R",NA,"201987"
"1610612760","2010","00","Kevin Durant","35","F","6-9","230","SEP 29, 1988","22","3","Texas","201142"
"1610612760","2010","00","Cole Aldrich","45","C","6-11","245","OCT 31, 1988","22","R","Kansas","202332"
