"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612755","2009","00","Samuel Dalembert","1","C","6-11","250","MAY 10, 1980","30","7","Seton Hall","2223"
"1610612755","2009","00","Allen Iverson","3","G","6-0","165","JUN 07, 1975","35","13","Georgetown","947"
"1610612755","2009","00","Francisco Elson","8","C-F","7-0","240","FEB 28, 1976","34","6","California","1922"
"1610612755","2009","00","Andre Iguodala","9","F-G","6-6","207","JAN 28, 1984","26","5","Arizona","2738"
"1610612755","2009","00","Jrue Holiday","11","G","6-4","180","JUN 12, 1990","20","R","UCLA","201950"
"1610612755","2009","00","Jason Smith","14","F-C","7-0","240","MAR 02, 1986","24","1","Colorado State","201160"
"1610612755","2009","00","Marreese Speights","16","F-C","6-10","245","AUG 04, 1987","22","1","Florida","201578"
"1610612755","2009","00","Jodie Meeks","20","G","6-4","208","AUG 21, 1987","22","R","Kentucky","201975"
"1610612755","2009","00","Thaddeus Young","21","F","6-8","220","JUN 21, 1988","22","2","Georgia Tech","201152"
"1610612755","2009","00","Lou Williams","23","G","6-1","175","OCT 27, 1986","23","4","No College","101150"
"1610612755","2009","00","Rodney Carney","25","F","6-7","205","APR 05, 1984","26","3","Memphis","200760"
"1610612755","2009","00","Willie Green","33","G","6-3","201","JUL 28, 1981","28","6","Detroit Mercy","2584"
"1610612755","2009","00","Elton Brand","42","F","6-9","254","MAR 11, 1979","31","10","Duke","1882"
"1610612755","2009","00","Jason Kapono","72","F-G","6-8","215","FEB 02, 1981","29","6","California-Los Angeles","2574"
