"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612757","2018","00","Enes Kanter","00","C","6-11","250","MAY 20, 1992","27","7"," ","202683"
"1610612757","2018","00","Damian Lillard","0","G","6-3","195","JUL 15, 1990","28","6","Weber State","203081"
"1610612757","2018","00","Evan Turner","1","G-F","6-7","220","OCT 27, 1988","30","8","Ohio State","202323"
"1610612757","2018","00","CJ McCollum","3","G","6-3","190","SEP 19, 1991","27","5","Lehigh","203468"
"1610612757","2018","00","Maurice Harkless","4","F","6-9","220","MAY 11, 1993","26","6","St. John's, N.Y.","203090"
"1610612757","2018","00","Rodney Hood","5","G","6-8","206","OCT 20, 1992","26","4","Duke","203918"
"1610612757","2018","00","Al-Farouq Aminu","8","F","6-9","220","SEP 21, 1990","28","8","Wake Forest","202329"
"1610612757","2018","00","Gary Trent Jr.","9","G","6-6","205","JAN 18, 1999","20","R","Duke","1629018"
"1610612757","2018","00","Jake Layman","10","F","6-9","215","MAR 07, 1994","25","2","Maryland","1627774"
"1610612757","2018","00","Meyers Leonard","11","F-C","7-1","255","FEB 27, 1992","27","6","Illinois","203086"
"1610612757","2018","00","Skal Labissiere","17","F","6-11","235","MAR 18, 1996","23","2","Kentucky","1627746"
"1610612757","2018","00","Anfernee Simons","24","G","6-4","185","JUN 08, 1999","20","R"," ","1629014"
"1610612757","2018","00","Jusuf Nurkic","27","C","7-0","275","AUG 23, 1994","24","4"," ","203994"
"1610612757","2018","00","Seth Curry","31","G","6-2","185","AUG 23, 1990","28","4","Duke","203552"
"1610612757","2018","00","Zach Collins","33","F-C","7-0","235","NOV 19, 1997","21","1","Gonzaga","1628380"
