"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612758","2013","00","Ray McCallum","3","G","6-3","190","JUN 12, 1991","23","R","Detroit","203492"
"1610612758","2013","00","Quincy Acy","5","F","6-7","225","OCT 06, 1990","23","1","Baylor","203112"
"1610612758","2013","00","Rudy Gay","8","F","6-8","230","AUG 17, 1986","27","7","Connecticut","200752"
"1610612758","2013","00","Jared Cunningham","9","G","6-4","195","MAY 22, 1991","23","1","Oregon State","203099"
"1610612758","2013","00","Derrick Williams","13","F","6-8","240","MAY 25, 1991","23","2","Arizona","202682"
"1610612758","2013","00","DeMarcus Cousins","15","C","6-11","270","AUG 13, 1990","23","3","Kentucky","202326"
"1610612758","2013","00","Ben McLemore","16","G","6-5","195","FEB 11, 1993","21","R","Kansas","203463"
"1610612758","2013","00","Isaiah Thomas","22","G","5-9","185","FEB 07, 1989","25","2","Washington","202738"
"1610612758","2013","00","Carl Landry","24","F","6-9","248","SEP 19, 1983","30","6","Purdue","201171"
"1610612758","2013","00","Travis Outlaw","25","F","6-9","207","SEP 18, 1984","29","10","Starkville","2566"
"1610612758","2013","00","Reggie Evans","30","F","6-8","245","MAY 18, 1980","34","11","Iowa","2501"
"1610612758","2013","00","Jason Terry","31","G","6-2","180","SEP 15, 1977","36","14","Arizona","1891"
"1610612758","2013","00","Aaron Gray","33","C","7-0","270","DEC 07, 1984","29","6","Pittsburgh","201189"
"1610612758","2013","00","Jason Thompson","34","F-C","6-11","250","JUL 21, 1986","27","5","Rider University","201574"
"1610612758","2013","00","Willie Reed","58","F-C","6-10","220","MAY 16, 1990","24","R","St. Louis","203186"
